,K,nparticles,nmeantimes,rep,seed,integral,E(T),PMC(K),PFV1(K),PFV2(K),Pr(K)
1,5,100,20,1,1717,0.046519091,3.591546548,0.011824255,0.012952384,0.08044907,0.015873016
2,5,100,20,2,1766,0.080422336,3.756262989,0.017034165,0.021410198,0.107075726,0.015873016
3,5,100,20,3,1841,0.052158435,3.75022708,0.018657192,0.013908074,0.082311498,0.015873016
4,5,100,20,4,1906,0.040039106,3.563371152,0.01332276,0.0112363,0.055639077,0.015873016
5,5,100,20,5,1969,0.04976777,3.806211867,0.009475457,0.013075407,0.086252926,0.015873016
6,5,100,20,6,2147,0.058553112,3.746248668,0.017241072,0.015629799,0.1004243,0.015873016
7,5,100,20,7,1915,0.052404472,3.628815944,0.013665465,0.014441204,0.055560976,0.015873016
8,5,100,20,8,2291,0.041265821,3.581172472,0.015559901,0.011522992,0.083138568,0.015873016
9,5,100,20,9,1781,0.051750704,3.762295526,0.015815147,0.013755088,0.069819136,0.015873016
10,5,100,20,10,2113,0.072484268,3.552177304,0.01097792,0.020405588,0.084268502,0.015873016
11,5,100,40,1,1717,0.053304917,3.808949751,0.012104689,0.013994649,0.12594684,0.015873016
12,5,100,40,2,1745,0.040283221,3.863501053,0.013420233,0.010426611,0.071818505,0.015873016
13,5,100,40,3,1805,0.043692594,3.730483683,0.010400543,0.011712313,0.08721725,0.015873016
14,5,100,40,4,1906,0.055316071,3.727507123,0.013458032,0.014839964,0.0701152,0.015873016
15,5,100,40,5,2041,0.051681485,3.850308045,0.013489802,0.013422688,0.084486878,0.015873016
16,5,100,40,6,2097,0.050597164,3.841022352,0.015300273,0.013172838,0.093244987,0.015873016
17,5,100,40,7,2035,0.046825487,3.818473491,0.016793423,0.012262881,0.123961083,0.015873016
18,5,100,40,8,2214,0.052780163,3.822229554,0.016559872,0.013808737,0.099569224,0.015873016
19,5,100,40,9,1893,0.070242264,3.864337704,0.012964722,0.018177051,0.108726047,0.015873016
20,5,100,40,10,2032,0.028368245,3.787399274,0.017447585,0.007490165,0.07952897,0.015873016
21,5,100,80,1,1717,0.054604062,3.893831041,0.015970919,0.014023223,0.124262289,0.015873016
22,5,100,80,2,1809,0.076692553,3.8060855,0.01266384,0.020149982,0.146926016,0.015873016
23,5,100,80,3,1769,0.037573531,3.756866762,0.012816815,0.010001294,0.149033443,0.015873016
24,5,100,80,4,1999,0.089697341,3.78465348,0.016391602,0.023700278,0.12526427,0.015873016
25,5,100,80,5,1741,0.068685848,3.784370631,0.01160797,0.018149873,0.105114722,0.015873016
26,5,100,80,6,2162,0.048667283,3.84412016,0.016708218,0.012660188,0.088046231,0.015873016
27,5,100,80,7,2209,0.081890819,3.869304575,0.014363776,0.021164222,0.127489562,0.015873016
28,5,100,80,8,2221,0.046310682,3.787356595,0.012131137,0.012227706,0.079005703,0.015873016
29,5,100,80,9,2397,0.084090748,3.875259212,0.016952331,0.021699387,0.105189984,0.015873016
30,5,100,80,10,2266,0.033977583,3.951654585,0.018582098,0.008598318,0.089458591,0.015873016
31,5,200,20,1,1717,0.031652668,3.670496368,0.009582417,0.008623539,0.049175875,0.015873016
32,5,200,20,2,1721,0.035316504,3.579566247,0.016700295,0.009866141,0.048247449,0.015873016
33,5,200,20,3,1761,0.046106385,3.724062419,0.010449891,0.012380669,0.109474364,0.015873016
34,5,200,20,4,1789,0.046384315,3.681250625,0.012981199,0.012600151,0.057579613,0.015873016
35,5,200,20,5,1933,0.055905678,3.663225543,0.012944476,0.015261326,0.1187259,0.015873016
36,5,200,20,6,1877,0.047034222,3.570507329,0.016257554,0.01317298,0.060023739,0.015873016
37,5,200,20,7,1915,0.035655976,3.720013712,0.013135404,0.009584904,0.088046408,0.015873016
38,5,200,20,8,2144,0.058720433,3.730871814,0.012831224,0.015739065,0.080560204,0.015873016
39,5,200,20,9,1813,0.067828382,3.69558556,0.015152345,0.018353893,0.093900391,0.015873016
40,5,200,20,10,2023,0.033271998,3.625988108,0.015478149,0.009175981,0.062889001,0.015873016
41,5,200,40,1,1717,0.037552609,3.767711795,0.010925176,0.009966954,0.105017506,0.015873016
42,5,200,40,2,1767,0.047803156,3.723835145,0.015614182,0.012837076,0.087662932,0.015873016
43,5,200,40,3,1837,0.046186768,3.740789747,0.014434076,0.012346796,0.089475922,0.015873016
44,5,200,40,4,1840,0.059535391,3.790089299,0.014152126,0.015708176,0.109251266,0.015873016
45,5,200,40,5,1925,0.04338457,3.836892472,0.016339064,0.011307216,0.069958493,0.015873016
46,5,200,40,6,1822,0.05730354,3.778251613,0.017063645,0.015166682,0.104586285,0.015873016
47,5,200,40,7,2047,0.045123473,3.728736865,0.012389739,0.012101544,0.127343454,0.015873016
48,5,200,40,8,2088,0.05129221,3.807066208,0.014864297,0.013472897,0.095169482,0.015873016
49,5,200,40,9,2229,0.045233922,3.85633928,0.014115613,0.011729757,0.097502393,0.015873016
50,5,200,40,10,2203,0.061501628,3.862003136,0.016795268,0.0159248,0.109308618,0.015873016
51,5,200,80,1,1717,0.039110465,3.841040603,0.013639023,0.010182258,0.1027728,0.015873016
52,5,200,80,2,1738,0.051074941,3.874502427,0.013451819,0.013182323,0.085663533,0.015873016
53,5,200,80,3,1773,0.04134948,3.859794118,0.014562182,0.010712872,0.118248593,0.015873016
54,5,200,80,4,1753,0.053118733,3.919594257,0.013052497,0.0135521,0.080486905,0.015873016
55,5,200,80,5,1857,0.060375396,3.836067365,0.013686482,0.015738878,0.093766725,0.015873016
56,5,200,80,6,2172,0.064128549,3.882869918,0.016412428,0.01651576,0.098031523,0.015873016
57,5,200,80,7,2203,0.06714534,3.908527113,0.015502045,0.017179193,0.123347987,0.015873016
58,5,200,80,8,1864,0.052226366,3.858443412,0.015421792,0.013535605,0.108496,0.015873016
59,5,200,80,9,2013,0.051323817,3.881564997,0.01518512,0.013222455,0.113749598,0.015873016
60,5,200,80,10,1978,0.044063129,3.883788014,0.01387184,0.0113454,0.107701375,0.015873016
61,5,400,20,1,1717,0.047412107,3.627925199,0.010707781,0.013068656,0.072063047,0.015873016
62,5,400,20,2,1751,0.053775594,3.645156136,0.010257396,0.014752618,0.070096006,0.015873016
63,5,400,20,3,1797,0.044929744,3.647608462,0.015379023,0.012317589,0.065334265,0.015873016
64,5,400,20,4,1780,0.048447795,3.662650158,0.016670808,0.013227524,0.093510393,0.015873016
65,5,400,20,5,1877,0.049235848,3.6767981,0.015658957,0.013390958,0.073001696,0.015873016
66,5,400,20,6,2107,0.04688386,3.661408213,0.014201341,0.012804871,0.084547361,0.015873016
67,5,400,20,7,2017,0.054407335,3.663147161,0.013745517,0.014852621,0.089074475,0.015873016
68,5,400,20,8,2179,0.0533942,3.614129336,0.012805705,0.014773738,0.09169679,0.015873016
69,5,400,20,9,2285,0.049930487,3.557560559,0.00901104,0.014035035,0.064335542,0.015873016
70,5,400,20,10,2203,0.047744443,3.707334575,0.013351346,0.012878374,0.059477821,0.015873016
71,5,400,40,1,1717,0.051525022,3.834010952,0.011705684,0.013438934,0.082407706,0.015873016
72,5,400,40,2,1807,0.055756707,3.796612985,0.016101821,0.014685907,0.091721911,0.015873016
73,5,400,40,3,1743,0.058420631,3.814194946,0.017017783,0.015316635,0.110229521,0.015873016
