,,,n,n,n,n,mean,mean,mean,mean,std,std,std,std,min,min,min,min,max,max,max,max,SE,SE,SE,SE
,,,PMC(K),PFV1(K),PFV2(K),Pr(K),PMC(K),PFV1(K),PFV2(K),Pr(K),PMC(K),PFV1(K),PFV2(K),Pr(K),PMC(K),PFV1(K),PFV2(K),Pr(K),PMC(K),PFV1(K),PFV2(K),Pr(K),PMC(K),PFV1(K),PFV2(K),Pr(K)
K,nparticles,nmeantimes,,,,,,,,,,,,,,,,,,,,,,,,
5.0,100.0,20.0,10,10,10,10,0.10105075915226283,0.08620437534493937,0.18199871466784978,0.11987461589147827,0.007916896267886804,0.014013282923986783,0.016856981211110147,0.0,0.09265884393483594,0.06984065762682462,0.15346820791012014,0.11987461589147824,0.11755621554573917,0.11121773006619677,0.20224253328700142,0.11987461589147824,0.0025035424205808858,0.004431389153614243,0.005330645510177172,0.0
5.0,100.0,40.0,10,10,10,10,0.11144112761085523,0.10358235863593235,0.25733668155099404,0.11987461589147827,0.008329258514843578,0.00827476871162427,0.03354494510640767,0.0,0.09873046623299829,0.08498242764711557,0.22466076089119358,0.11987461589147824,0.12422782236459011,0.11267485145845188,0.3216948963072717,0.11987461589147824,0.00263394281272571,0.002616711623982971,0.010607843052156755,0.0
5.0,200.0,20.0,10,10,10,10,0.10261683631581371,0.09104646675793825,0.1707145200844983,0.11987461589147827,0.009383781240458692,0.006109268921738853,0.00917378082425442,0.0,0.09077585473174651,0.08333119212746473,0.1613203464706236,0.11987461589147824,0.1208697656751859,0.10242884393600085,0.18839901842075799,0.11987461589147824,0.0029674121784609643,0.0019319204631175738,0.002901004215982081,0.0
5.0,200.0,40.0,10,10,10,10,0.11273416669602845,0.09737890439052342,0.2652542584414094,0.11987461589147827,0.0041480055238354435,0.011195954504793862,0.030688286084824656,0.0,0.1078511348641591,0.0803099068241979,0.2195469207778143,0.11987461589147824,0.1208430788116518,0.1161953650683793,0.31851436290240365,0.11987461589147824,0.0013117145202279858,0.003540471681477116,0.009704488151489714,0.0
5.0,400.0,20.0,10,10,10,10,0.10264003038985652,0.09107124851759911,0.15336556456392575,0.11987461589147827,0.0030905355396106953,0.007667980792239693,0.005411871117340187,0.0,0.09835980723299666,0.0812395083903559,0.14336986270629737,0.11987461589147824,0.10727439487817574,0.10787155625792506,0.1601172227489616,0.11987461589147824,0.000977313149486733,0.002424828435789981,0.0017113839134075357,0.0
5.0,400.0,40.0,10,10,10,10,0.11167786171329089,0.10114517038866015,0.2699134451961773,0.11987461589147827,0.0035026457555336773,0.007362690021913907,0.027468159650129564,0.0,0.10531220211853702,0.0892408745930357,0.21587332314788413,0.11987461589147824,0.11692624595359015,0.1127339345843447,0.30869027833835916,0.11987461589147824,0.0011076338424207742,0.0023282870175042984,0.00868619476275432,0.0
5.0,800.0,20.0,10,10,10,10,0.10218610299853068,0.08925206552417153,0.14398033667314344,0.11987461589147827,0.0029215098126628663,0.004385004894051863,0.00477801703078285,0.0,0.09788773208638885,0.08026799544217456,0.13403585719803435,0.11987461589147824,0.10603756283929384,0.09433710688425773,0.15183165091851067,0.11987461589147824,0.0009238625214546489,0.0013866603016189217,0.0015109416516348657,0.0
5.0,800.0,40.0,10,10,10,10,0.11071452752463484,0.10107520270764032,0.2597218093542305,0.11987461589147827,0.0024593421687203096,0.005147191352438525,0.011567680892780671,0.0,0.10852165376724465,0.09544383525936757,0.23873434413664515,0.11987461589147824,0.11615091269428567,0.10933406480041695,0.2728373277540662,0.11987461589147824,0.0007777122798854288,0.0016276848226428214,0.003658021886719693,0.0
