,,,n,n,n,n,mean,mean,mean,mean,std,std,std,std,min,min,min,min,max,max,max,max,SE,SE,SE,SE
,,,PMC(K),PFV1(K),PFV2(K),Pr(K),PMC(K),PFV1(K),PFV2(K),Pr(K),PMC(K),PFV1(K),PFV2(K),Pr(K),PMC(K),PFV1(K),PFV2(K),Pr(K),PMC(K),PFV1(K),PFV2(K),Pr(K),PMC(K),PFV1(K),PFV2(K),Pr(K)
K,nparticles,nmeantimes,,,,,,,,,,,,,,,,,,,,,,,,
5.0,10.0,20.0,5,5,5,5,0.1011395335769378,0.12026012268792038,0.3361889417491199,0.11987461589147826,0.03265155094697135,0.04956712831714653,0.10073916884615977,0.0,0.07166231557731274,0.06723211681870117,0.22495213272723166,0.11987461589147824,0.14978183915441262,0.17893454031983672,0.4352093384413408,0.11987461589147824,0.014602217497645113,0.02216709367331888,0.04505192590736846,0.0
5.0,10.0,40.0,5,5,5,5,0.11652492460579322,0.11359357856277282,0.3007681277295033,0.11987461589147826,0.029464156967815663,0.056341927429322786,0.07388701813088648,0.0,0.07672823233614458,0.05209838531105018,0.18861122619420323,0.11987461589147824,0.1492562797224732,0.20268540324749565,0.3859601252211298,0.11987461589147824,0.013176771575951981,0.025196875943065144,0.03304327903908432,0.0
5.0,20.0,20.0,5,5,5,5,0.11581306054706464,0.09847088496575646,0.2765298156659789,0.11987461589147826,0.014606437800744504,0.03372533547234922,0.05619716252301767,0.0,0.09038329493000295,0.04991002271664159,0.20089215710540093,0.11987461589147824,0.1271733236284673,0.1376068657970558,0.346711612808452,0.11987461589147824,0.006532197566317447,0.015082428536031565,0.02513213510881422,0.0
5.0,20.0,40.0,5,5,5,5,0.11645527082216507,0.10836650034198451,0.32711793569399256,0.11987461589147826,0.01300995978593762,0.028987862165809924,0.017319865818273366,0.0,0.09975148182204767,0.07641921483499686,0.3063729869646037,0.11987461589147824,0.1280403629321879,0.1430879779127684,0.3419265099361377,0.11987461589147824,0.005818230893179026,0.012963766065029053,0.007745679466166853,0.0
10.0,10.0,20.0,5,5,5,5,0.0064967255306692005,0.04265562295356391,0.16611737610108723,0.023539955766603123,0.007045206237763389,0.026189305373955293,0.06050601882383919,0.0,0.0,0.014317408694628293,0.09450411014246803,0.023539955766603123,0.0166523431573591,0.08227923832616905,0.23022812003752285,0.023539955766603123,0.0031507120126288966,0.011712213419932917,0.02705911422759726,0.0
10.0,10.0,40.0,5,5,5,5,0.016991583142102872,0.03561493773454177,0.19067254734340536,0.023539955766603123,0.009673423580531186,0.009279887073318838,0.0523027982579406,0.0,0.007114443873753006,0.02480328002340572,0.1347565125535098,0.023539955766603123,0.029993499672861624,0.05009839385808743,0.24490008928241133,0.023539955766603123,0.004326086540243429,0.004150091663892499,0.02339052246364255,0.0
10.0,20.0,20.0,5,5,5,5,0.013809483700298114,0.03856500458028943,0.1502466358334333,0.023539955766603123,0.012116348266553159,0.02855352241727987,0.09171476753501004,0.0,0.0027294936496513257,0.011700735886972699,0.06653983888351891,0.023539955766603123,0.028564403567921445,0.07574047686408054,0.24941498450813668,0.023539955766603123,0.00541859567261492,0.01276952342442038,0.04101609094977465,0.0
10.0,20.0,40.0,5,5,5,5,0.018091857788902384,0.03510444224286792,0.1744997687152105,0.023539955766603123,0.0068114771739276915,0.005948768202702221,0.029564188743012414,0.0,0.009233116352340195,0.028206870270188967,0.12420983385407301,0.023539955766603123,0.025989069446183375,0.043254142786655125,0.20192562811481002,0.023539955766603123,0.003046185197618095,0.0026603700167262827,0.013221507145801963,0.0
