,K,nparticles,nmeantimes,buffer_size_activation,rep,seed,integral,E(T),PMC(K),PFV1(K),PFV2(K),Pr(K)
0,5.0,10.0,20.0,0.5,1.0,1717.0,0.23145966015546937,3.2540415171470096,0.14978183915441262,0.07112990382446083,0.2308041634751492,0.11987461589147824
0,5.0,10.0,20.0,0.5,2.0,1754.0,0.4226483396619233,2.774376399842999,0.09655653939383389,0.1523399419364441,0.38095596285807937,0.11987461589147824
0,5.0,10.0,20.0,0.5,3.0,1879.0,0.3207032186966244,2.4357679353995723,0.07260946283758153,0.13166411054015908,0.4090231112437983,0.11987461589147824
0,5.0,10.0,20.0,0.5,4.0,1957.0,0.4797301477935705,2.681037137581578,0.07166231557731274,0.17893454031983672,0.4352093384413408,0.11987461589147824
0,5.0,10.0,20.0,0.5,5.0,1753.0,0.23416693326450566,3.4829623749013088,0.11508751092154827,0.06723211681870117,0.22495213272723166,0.11987461589147824
0,5.0,10.0,40.0,0.5,1.0,1717.0,0.4288320990916843,3.5102060311336465,0.1492562797224732,0.12216721619419868,0.3245839317118733,0.11987461589147824
0,5.0,10.0,40.0,0.5,2.0,1737.0,0.2761495276360135,3.2755603926920167,0.09715859458124512,0.08430604065555337,0.3859601252211298,0.11987461589147824
0,5.0,10.0,40.0,0.5,3.0,1741.0,0.7307450632486988,3.605316670763896,0.13656192401887274,0.20268540324749565,0.329065026642306,0.11987461589147824
0,5.0,10.0,40.0,0.5,4.0,1807.0,0.17719231895073734,3.40110961007374,0.12291959237023045,0.05209838531105018,0.18861122619420323,0.11987461589147824
0,5.0,10.0,40.0,0.5,5.0,1837.0,0.32627191993999055,3.057532836375653,0.07672823233614458,0.10671084740556629,0.27562032887800403,0.11987461589147824
0,5.0,20.0,20.0,0.5,1.0,1717.0,0.14456139468557616,2.896440170069784,0.1271733236284673,0.04991002271664159,0.24601768198168886,0.11987461589147824
0,5.0,20.0,20.0,0.5,2.0,1761.0,0.3639040931827795,2.6445198869616684,0.09038329493000295,0.1376068657970558,0.346711612808452,0.11987461589147824
0,5.0,20.0,20.0,0.5,3.0,1781.0,0.32469568228385726,2.989157199304882,0.12296281789872936,0.1086244920004087,0.3087985187106244,0.11987461589147824
0,5.0,20.0,20.0,0.5,4.0,1849.0,0.3803412339938345,3.313463964039287,0.12041378312861094,0.114786591350213,0.28022910772372833,0.11987461589147824
0,5.0,20.0,20.0,0.5,5.0,2109.0,0.27068711782065896,3.3243142488202775,0.11813208314951261,0.08142645296446314,0.20089215710540093,0.11987461589147824
0,5.0,20.0,40.0,0.5,1.0,1717.0,0.261141133857043,3.206592864511307,0.12320089267293004,0.08143881836300462,0.34075765943003683,0.11987461589147824
0,5.0,20.0,40.0,0.5,2.0,1728.0,0.2453640818757948,3.2107642352199113,0.09975148182204767,0.07641921483499686,0.3063729869646037,0.11987461589147824
0,5.0,20.0,40.0,0.5,3.0,1855.0,0.46342460844293487,3.61682538125333,0.1260576240036337,0.12813021354167378,0.33619977143147345,0.11987461589147824
0,5.0,20.0,40.0,0.5,4.0,1861.0,0.4261615884289228,2.9783186165977296,0.10522599268002605,0.1430879779127684,0.3419265099361377,0.11987461589147824
0,5.0,20.0,40.0,0.5,5.0,1965.0,0.39987275894248403,3.5463458831533052,0.1280403629321879,0.11275627705747897,0.3103327507077112,0.11987461589147824
0,10.0,10.0,20.0,0.5,1.0,1717.0,0.20073873167394202,5.917196942866417,0.0166523431573591,0.03392463249274578,0.1432587701658092,0.023539955766603123
0,10.0,10.0,20.0,0.5,2.0,1781.0,0.07217382556259717,5.040983819207163,0.0,0.014317408694628293,0.09450411014246803,0.023539955766603123
0,10.0,10.0,20.0,0.5,3.0,1907.0,0.09767462900162639,3.3316373828885935,0.0005711824847575664,0.029317304909377808,0.13427746052265593,0.023539955766603123
0,10.0,10.0,20.0,0.5,4.0,1741.0,0.3502324298301286,4.256631891045794,0.010415261776528115,0.08227923832616905,0.23022812003752285,0.023539955766603123
0,10.0,10.0,20.0,0.5,5.0,1921.0,0.2600905111645483,4.867005931487882,0.004844840234701221,0.05343953034489863,0.22831841963698002,0.023539955766603123
0,10.0,10.0,40.0,0.5,1.0,1717.0,0.16945401377187433,4.687156560593,0.007114443873753006,0.03615283841733584,0.24242870759190285,0.023539955766603123
0,10.0,10.0,40.0,0.5,2.0,1815.0,0.1281401089661233,5.166256593692582,0.029993499672861624,0.02480328002340572,0.18735294616713108,0.023539955766603123
0,10.0,10.0,40.0,0.5,3.0,1759.0,0.24332730108664372,4.856988065843216,0.023660942626231155,0.05009839385808743,0.24490008928241133,0.023539955766603123
0,10.0,10.0,40.0,0.5,4.0,1888.0,0.14327226506822344,4.55844041111274,0.014855843094191848,0.031430105945653874,0.1439244811220717,0.023539955766603123
0,10.0,10.0,40.0,0.5,5.0,1797.0,0.14900371636585047,4.186665397764363,0.009333186443476733,0.03559007042822599,0.1347565125535098,0.023539955766603123
0,10.0,20.0,20.0,0.5,1.0,1717.0,0.06720810129297713,5.743920890292458,0.0027294936496513257,0.011700735886972699,0.06653983888351891,0.023539955766603123
0,10.0,20.0,20.0,0.5,2.0,1756.0,0.22617873776160402,3.829328608882706,0.028564403567921445,0.05906485466850463,0.2454825569087244,0.023539955766603123
0,10.0,20.0,20.0,0.5,3.0,1717.0,0.06720810129297713,5.743920890292458,0.0027294936496513257,0.011700735886972699,0.06653983888351891,0.023539955766603123
0,10.0,20.0,20.0,0.5,4.0,1834.0,0.16717731700774816,4.829171429494794,0.024460614517584783,0.034618219594916615,0.12325595998326766,0.023539955766603123
0,10.0,20.0,20.0,0.5,5.0,2021.0,0.345481165131692,4.561380908013986,0.010563413116681693,0.07574047686408054,0.24941498450813668,0.023539955766603123
0,10.0,20.0,40.0,0.5,1.0,1717.0,0.15977969819539684,5.247832233198713,0.013304883274651865,0.030446799953817553,0.17741838247815128,0.023539955766603123
0,10.0,20.0,40.0,0.5,2.0,1755.0,0.2001115738402923,5.463481807205735,0.02259458430720944,0.03662711452179945,0.18253850311887307,0.023539955766603123
0,10.0,20.0,40.0,0.5,3.0,1767.0,0.23326998224076442,5.393009020923967,0.025989069446183375,0.043254142786655125,0.20192562811481002,0.023539955766603123
0,10.0,20.0,40.0,0.5,4.0,2008.0,0.1396222435937566,4.9499374534054335,0.01933763556412704,0.028206870270188967,0.12420983385407301,0.023539955766603123
0,10.0,20.0,40.0,0.5,5.0,1757.0,0.21062054455054027,5.694404227194747,0.009233116352340195,0.03698728368187851,0.186406496010145,0.023539955766603123
