,K,nparticles,nmeantimes,buffer_size_activation,buffer_size_activation_value,rep,seed,integral,E(T),PMC(K),PFV1(K),PFV2(K),Pr(K),Error(MC),Error(FV)
1,5,100,30,0.2,1,1,1717,0.350344913,4.484922254,11.25%,7.81%,0.200754442,12.0%,-0.74%,-4.18%
2,5,100,30,0.2,1,2,1718,0.35757746,4.3806914,11.01%,8.16%,0.187112352,12.0%,-0.98%,-3.82%
3,5,100,30,0.2,1,3,1719,0.383828295,4.588221358,11.67%,8.37%,0.163761536,12.0%,-0.31%,-3.62%
4,5,100,30,0.2,1,4,1720,0.372288681,4.620632501,10.60%,8.06%,0.226538312,12.0%,-1.39%,-3.93%
5,5,100,30,0.2,1,5,1721,0.389599154,4.167273278,10.28%,9.35%,0.234513259,12.0%,-1.71%,-2.64%
6,5,100,30,0.2,1,6,1722,0.369727841,4.368196463,10.89%,8.46%,0.241654221,12.0%,-1.10%,-3.52%
7,5,100,30,0.2,1,7,1723,0.450266421,4.274406436,10.64%,10.53%,0.247852359,12.0%,-1.35%,-1.45%
8,5,100,30,0.2,1,8,1724,0.375767408,4.162467955,11.18%,9.03%,0.250830601,12.0%,-0.81%,-2.96%
9,5,200,30,0.2,1,1,1717,0.466110398,4.389809985,11.11%,10.62%,0.215406787,12.0%,-0.88%,-1.37%
10,5,200,30,0.2,1,2,1718,0.394027339,4.379484396,10.76%,9.00%,0.226626889,12.0%,-1.22%,-2.99%
11,5,200,30,0.2,1,3,1719,0.396027081,4.351521118,10.64%,9.10%,0.224512178,12.0%,-1.35%,-2.89%
12,5,200,30,0.2,1,4,1720,0.401238126,4.409584014,10.41%,9.10%,0.190086394,12.0%,-1.58%,-2.89%
13,5,200,30,0.2,1,5,1721,0.382614557,4.533760984,10.95%,8.44%,0.210721738,12.0%,-1.04%,-3.55%
14,5,200,30,0.2,1,6,1722,0.403542376,4.134775126,10.91%,9.76%,0.23883401,12.0%,-1.07%,-2.23%
15,5,200,30,0.2,1,7,1723,0.44288249,4.307010596,11.16%,10.28%,0.221862946,12.0%,-0.83%,-1.70%
16,5,200,30,0.2,1,8,1724,0.411673796,4.352434525,11.05%,9.46%,0.21103463,12.0%,-0.94%,-2.53%
17,5,400,30,0.2,1,1,1717,0.41916536,4.420669731,10.76%,9.48%,0.234438644,12.0%,-1.23%,-2.51%
18,5,400,30,0.2,1,2,1718,0.391651497,4.327725964,10.68%,9.05%,0.199714651,12.0%,-1.30%,-2.94%
19,5,400,30,0.2,1,3,1719,0.385538736,4.392615157,10.63%,8.78%,0.200923981,12.0%,-1.36%,-3.21%
20,5,400,30,0.2,1,4,1720,0.377764447,4.268760407,10.53%,8.85%,0.213675824,12.0%,-1.45%,-3.14%
21,5,400,30,0.2,1,5,1721,0.430707851,4.43332989,11.64%,9.72%,0.212689187,12.0%,-0.35%,-2.27%
22,5,400,30,0.2,1,6,1722,0.460282762,4.393213594,11.21%,10.48%,0.221051849,12.0%,-0.78%,-1.51%
23,5,400,30,0.2,1,7,1723,0.443015162,4.356329427,11.04%,10.17%,0.198990808,12.0%,-0.95%,-1.82%
24,5,400,30,0.2,1,8,1724,0.40516555,4.297270444,11.22%,9.43%,0.232371008,12.0%,-0.76%,-2.56%
25,5,100,30,0.3,1,1,1717,0.350344913,4.484922254,11.25%,7.81%,0.200754442,12.0%,-0.74%,-4.18%
26,5,100,30,0.3,1,2,1718,0.35757746,4.3806914,11.01%,8.16%,0.187112352,12.0%,-0.98%,-3.82%
27,5,100,30,0.3,1,3,1719,0.383828295,4.588221358,11.67%,8.37%,0.163761536,12.0%,-0.31%,-3.62%
28,5,100,30,0.3,1,4,1720,0.372288681,4.620632501,10.60%,8.06%,0.226538312,12.0%,-1.39%,-3.93%
29,5,100,30,0.3,1,5,1721,0.389599154,4.167273278,10.28%,9.35%,0.234513259,12.0%,-1.71%,-2.64%
30,5,100,30,0.3,1,6,1722,0.369727841,4.368196463,10.89%,8.46%,0.241654221,12.0%,-1.10%,-3.52%
31,5,100,30,0.3,1,7,1723,0.450266421,4.274406436,10.64%,10.53%,0.247852359,12.0%,-1.35%,-1.45%
32,5,100,30,0.3,1,8,1724,0.375767408,4.162467955,11.18%,9.03%,0.250830601,12.0%,-0.81%,-2.96%
33,5,200,30,0.3,1,1,1717,0.466110398,4.389809985,11.11%,10.62%,0.215406787,12.0%,-0.88%,-1.37%
34,5,200,30,0.3,1,2,1718,0.394027339,4.379484396,10.76%,9.00%,0.226626889,12.0%,-1.22%,-2.99%
35,5,200,30,0.3,1,3,1719,0.396027081,4.351521118,10.64%,9.10%,0.224512178,12.0%,-1.35%,-2.89%
