,E(T),K,PFV1(K),PFV2(K),PMC(K),Pr(K),buffer_size_activation,buffer_size_activation_value,integral,nmeantimes,nparticles,rep,seed
1,447.08317747765415,40.0,0.0,0.0,0.0,4.547473508866709e-13,0.2,8.0,0.0,50.0,400.0,1.0,1717.0
2,549.4149415018551,40.0,0.0,0.0,0.0,4.547473508866709e-13,0.2,8.0,0.0,50.0,400.0,2.0,1718.0
3,677.9346240764055,40.0,0.0,0.0,0.0,4.547473508866709e-13,0.2,8.0,0.0,50.0,400.0,3.0,1719.0
4,671.3667353403014,40.0,0.0,0.0,0.0,4.547473508866709e-13,0.2,8.0,0.0,50.0,400.0,4.0,1720.0
5,515.3680819276393,40.0,0.0,0.0,0.0,4.547473508866709e-13,0.2,8.0,0.0,50.0,400.0,5.0,1721.0
6,461.9859763708277,40.0,0.0,0.0,0.0,4.547473508866709e-13,0.2,8.0,0.0,50.0,400.0,6.0,1722.0
7,604.6061261709687,40.0,0.0,0.0,0.0,4.547473508866709e-13,0.2,8.0,0.0,50.0,400.0,7.0,1723.0
8,477.56745167737176,40.0,0.0,0.0,0.0,4.547473508866709e-13,0.2,8.0,0.0,50.0,400.0,8.0,1724.0
9,1372.076874580827,40.0,0.0,0.0,0.0,4.547473508866709e-13,0.25,10.0,0.0,50.0,400.0,1.0,1717.0
10,1237.840909207769,40.0,0.0,0.0,0.0,4.547473508866709e-13,0.25,10.0,0.0,50.0,400.0,2.0,1718.0
11,1806.7479698261893,40.0,0.0,0.0,0.0,4.547473508866709e-13,0.25,10.0,0.0,50.0,400.0,3.0,1719.0
12,2726.7903232247313,40.0,0.0,0.0,0.0,4.547473508866709e-13,0.25,10.0,0.0,50.0,400.0,4.0,1720.0
13,1537.3413245247373,40.0,0.0,0.0,0.0,4.547473508866709e-13,0.25,10.0,0.0,50.0,400.0,5.0,1721.0
14,1798.4331677145392,40.0,0.0,0.0,0.0,4.547473508866709e-13,0.25,10.0,0.0,50.0,400.0,6.0,1722.0
15,2619.950554021872,40.0,0.0,0.0,0.0,4.547473508866709e-13,0.25,10.0,0.0,50.0,400.0,7.0,1723.0
16,1362.7472445032945,40.0,0.0,0.0,0.0,4.547473508866709e-13,0.25,10.0,0.0,50.0,400.0,8.0,1724.0
17,6631.417853544807,40.0,0.0,0.0,0.0,4.547473508866709e-13,0.3,12.0,0.0,50.0,400.0,1.0,1717.0
18,3235.87906623342,40.0,0.0,0.0,0.0,4.547473508866709e-13,0.3,12.0,0.0,50.0,400.0,2.0,1718.0
19,14768.580289599224,40.0,0.0,0.0,0.0,4.547473508866709e-13,0.3,12.0,0.0,50.0,400.0,3.0,1719.0
20,3087.4458402878486,40.0,0.0,0.0,0.0,4.547473508866709e-13,0.3,12.0,0.0,50.0,400.0,4.0,1720.0
21,1537.1928221625146,40.0,0.0,0.0,0.0,4.547473508866709e-13,0.3,12.0,0.0,50.0,400.0,5.0,1721.0
22,1724.1293625093551,40.0,0.0,0.0,0.0,4.547473508866709e-13,0.3,12.0,0.0,50.0,400.0,6.0,1722.0
23,2695.3713113635927,40.0,0.0,0.0,0.0,4.547473508866709e-13,0.3,12.0,0.0,50.0,400.0,7.0,1723.0
24,8857.179711102977,40.0,0.0,0.0,0.0,4.547473508866709e-13,0.3,12.0,0.0,50.0,400.0,8.0,1724.0
25,39998.882454050654,40.0,0.0,0.0,0.0,4.547473508866709e-13,0.35,14.0,0.0,50.0,400.0,1.0,1717.0
26,4030.9621306461436,40.0,0.0,0.0,0.0,4.547473508866709e-13,0.35,14.0,0.0,50.0,400.0,2.0,1718.0
27,39999.32694057298,40.0,0.0,0.0,0.0,4.547473508866709e-13,0.35,14.0,0.0,50.0,400.0,3.0,1719.0
28,39999.925403829715,40.0,1.7528104885353378e-10,0.0,0.0,4.547473508866709e-13,0.35,14.0,7.011228878846383e-06,50.0,400.0,4.0,1720.0
29,4302.254056735669,40.0,0.0,0.0,0.0,4.547473508866709e-13,0.35,14.0,0.0,50.0,400.0,5.0,1721.0
30,10638.453043993219,40.0,0.0,0.0,0.0,4.547473508866709e-13,0.35,14.0,0.0,50.0,400.0,6.0,1722.0
31,39999.362402854444,40.0,0.0,0.0,0.0,4.547473508866709e-13,0.35,14.0,0.0,50.0,400.0,7.0,1723.0
32,17713.895870406963,40.0,0.0,0.0,0.0,4.547473508866709e-13,0.35,14.0,0.0,50.0,400.0,8.0,1724.0
33,39998.882454050654,40.0,0.0,0.0,0.0,4.547473508866709e-13,0.4,16.0,0.0,50.0,400.0,1.0,1717.0
34,16121.304994407668,40.0,0.0,0.0,0.0,4.547473508866709e-13,0.4,16.0,0.0,50.0,400.0,2.0,1718.0
35,39999.32694057298,40.0,0.0,0.0,0.0,4.547473508866709e-13,0.4,16.0,0.0,50.0,400.0,3.0,1719.0
36,39999.925403829715,40.0,2.3387006393475455e-10,0.0,0.0,4.547473508866709e-13,0.4,16.0,9.354785111579069e-06,50.0,400.0,4.0,1720.0
37,39999.66560449713,40.0,0.0,0.0,0.0,4.547473508866709e-13,0.4,16.0,0.0,50.0,400.0,5.0,1721.0
38,17877.6401918165,40.0,0.0,0.0,0.0,4.547473508866709e-13,0.4,16.0,0.0,50.0,400.0,6.0,1722.0
39,39999.362402854444,40.0,0.0,0.0,0.0,4.547473508866709e-13,0.4,16.0,0.0,50.0,400.0,7.0,1723.0
40,39999.27035933359,40.0,0.0,0.0,0.0,4.547473508866709e-13,0.4,16.0,0.0,50.0,400.0,8.0,1724.0
