,,,n,n,n,mean,mean,mean,std,std,std,min,min,min,max,max,max,SE,SE,SE
,,,PMC(K),PFV1(K),Pr(K),PMC(K),PFV1(K),Pr(K),PMC(K),PFV1(K),Pr(K),PMC(K),PFV1(K),Pr(K),PMC(K),PFV1(K),Pr(K),PMC(K),PFV1(K),Pr(K)
K,buffer_size_activation,nparticles,,,,,,,,,,,,,,,,,,
5.0,0.4,200.0,8,8,8,0.01431994429145935,0.013427195523158044,0.015873015873015872,0.001632332412590243,0.0021418787832547625,0.0,0.011198911565537182,0.010797610006518755,0.015873015873015872,0.016939678109945778,0.016522744249427575,0.015873015873015872,0.000577116659046579,0.000757268506059517,0.0
5.0,0.4,400.0,8,8,8,0.014933694431991346,0.013745866940463331,0.015873015873015872,0.0015115171750749105,0.0013082838651132143,0.0,0.012651061031315481,0.01200999479346079,0.015873015873015872,0.017461889823235165,0.015932811595361113,0.015873015873015872,0.0005344020221877016,0.0004625481963692501,0.0
5.0,0.6,200.0,8,8,8,0.014331564943688558,0.01453322753481506,0.015873015873015872,0.0016269509795677455,0.001631880291373521,0.0,0.011211306424622033,0.01234587572093652,0.015873015873015872,0.016940755208341044,0.017651495524478894,0.015873015873015872,0.0005752140351552244,0.0005769568100574479,0.0
5.0,0.6,400.0,8,8,8,0.014944839859552464,0.014041199515783214,0.015873015873015872,0.0015054599030556897,0.0004457648851346186,0.0,0.012685898499044576,0.013165313071562136,0.015873015873015872,0.017473317701170926,0.01473697416267993,0.015873015873015872,0.0005322604531275603,0.00015760168654676562,0.0
5.0,1.0,200.0,8,8,8,0.014309968027211626,0.012694267202952032,0.015873015873015872,0.001629380527329935,0.0025576006096360783,0.0,0.011190214542751062,0.00906072802870563,0.015873015873015872,0.016922908999264612,0.016871788129293384,0.015873015873015872,0.0005760730100041549,0.0009042483673202595,0.0
5.0,1.0,400.0,8,8,8,0.014930896261218083,0.01231517777672974,0.015873015873015872,0.0015106189615963499,0.0012862039772770586,0.0,0.012648715464150334,0.0103693002091906,0.015873015873015872,0.01745274309478975,0.01439978972986852,0.015873015873015872,0.0005340844557668798,0.00045474177716085806,0.0
10.0,0.2,200.0,8,8,8,0.0004555501751735326,0.0002408172398712766,0.0004885197850512946,0.0003019397390049555,9.792515744245662e-05,0.0,9.364481848281633e-05,0.00010070145954378816,0.0004885197850512946,0.0009178331762709844,0.0003655317639763415,0.0004885197850512946,0.00010675181848005017,3.462177143816069e-05,0.0
10.0,0.2,400.0,8,8,8,0.0005784029477159949,0.00035786972213950377,0.0004885197850512946,0.0002304148850824547,0.00010753033689040547,0.0,0.0003265507094352146,0.00019116517793545782,0.0004885197850512946,0.0009288113260090465,0.0004911510503987298,0.0004885197850512946,8.146396386406139e-05,3.8017715199239837e-05,0.0
10.0,0.4,200.0,8,8,8,0.00045678923308478355,0.0002670945177022534,0.0004885197850512946,0.0003023771301874347,0.0001227029521974043,0.0,9.372770136142469e-05,6.375673756713723e-05,0.0004885197850512946,0.0009179082440138905,0.00045479943623033834,0.0004885197850512946,0.00010690645961563129,4.3382044785196675e-05,0.0
10.0,0.4,400.0,8,8,8,0.0005797136748162254,0.00036468773352148665,0.0004885197850512946,0.0002300494714131817,6.475944403320024e-05,0.0,0.0003267685486519625,0.00026213659883391025,0.0004885197850512946,0.0009298803095022045,0.00046791715244155904,0.0004885197850512946,8.133477062232079e-05,2.2895921010873297e-05,0.0
10.0,0.6,200.0,8,8,8,0.0004656452378050831,0.0003358466898979874,0.0004885197850512946,0.0003170929760501315,8.399905865167025e-05,0.0,9.373370857448491e-05,0.00024077495036435784,0.0004885197850512946,0.0009841381313484417,0.00046876130285460803,0.0004885197850512946,0.00011210929681583574,2.9698151992941283e-05,0.0
10.0,0.6,400.0,8,8,8,0.0005832036113149132,0.0003545735099651589,0.0004885197850512946,0.00023103139150363756,6.74363606948828e-05,0.0,0.0003299655964300349,0.00021903712981732244,0.0004885197850512946,0.0009360556077220692,0.0004225906498545129,0.0004885197850512946,8.168193179959311e-05,2.3842353972946792e-05,0.0
10.0,1.0,200.0,8,8,8,0.000455266487854648,0.0003732761399961169,0.0004885197850512946,0.000301738253131551,0.00018221728941760328,0.0,9.357209435106646e-05,4.999210683888313e-05,0.0004885197850512946,0.0009169041395082822,0.000532955172324707,0.0004885197850512946,0.00010668058246635136,6.44235404983095e-05,0.0
10.0,1.0,400.0,8,8,8,0.0005782970231737635,0.0004215960942773265,0.0004885197850512946,0.00023035340608253637,0.0002085093643261465,0.0,0.0003263458981412918,0.00016540380771157235,0.0004885197850512946,0.0009287710206909106,0.0007381173658800229,0.0004885197850512946,8.144222775518998e-05,7.371919272795728e-05,0.0
20.0,0.1,200.0,8,8,8,0.0,3.591275484134254e-07,4.768373855769089e-07,0.0,6.663936010296308e-07,0.0,0.0,0.0,4.768373855769089e-07,0.0,1.5178143010105172e-06,4.768373855769089e-07,0.0,2.3560571711368726e-07,0.0
20.0,0.1,400.0,8,8,8,0.0,1.874473769540559e-07,4.768373855769089e-07,0.0,4.4484819046564727e-07,0.0,0.0,0.0,4.768373855769089e-07,0.0,1.2703435054365393e-06,4.768373855769089e-07,0.0,1.57277586038412e-07,0.0
20.0,0.2,200.0,8,8,8,0.0,6.848198946052162e-07,4.768373855769089e-07,0.0,9.400385130112789e-07,0.0,0.0,0.0,4.768373855769089e-07,0.0,2.6640627747408395e-06,4.768373855769089e-07,0.0,3.3235380356339694e-07,0.0
20.0,0.2,400.0,8,8,8,0.0,9.821827272521736e-07,4.768373855769089e-07,0.0,1.8934290884682923e-06,0.0,0.0,0.0,4.768373855769089e-07,0.0,5.546890027703497e-06,4.768373855769089e-07,0.0,6.694282740758964e-07,0.0
20.0,0.4,200.0,8,8,8,0.0,2.522895060066007e-07,4.768373855769089e-07,0.0,1.975147522507149e-07,0.0,0.0,6.903730223841773e-08,4.768373855769089e-07,0.0,6.38478000161425e-07,4.768373855769089e-07,0.0,6.98320103504307e-08,0.0
20.0,0.4,400.0,8,8,8,0.0,2.6914556379964987e-07,4.768373855769089e-07,0.0,1.5375984005098294e-07,0.0,0.0,4.214639020460591e-08,4.768373855769089e-07,0.0,4.599520660117341e-07,4.768373855769089e-07,0.0,5.436231278710447e-08,0.0
20.0,0.6,200.0,4,8,8,0.0,4.6452705700470046e-07,4.768373855769089e-07,0.0,4.422815229673017e-07,0.0,0.0,7.301000509341857e-08,4.768373855769089e-07,0.0,1.256053768779459e-06,4.768373855769089e-07,0.0,1.5637013204184638e-07,0.0
20.0,0.6,400.0,8,8,8,0.0,9.433171581465073e-07,4.768373855769089e-07,0.0,7.171744694962855e-07,0.0,0.0,1.0182005831058805e-07,4.768373855769089e-07,0.0,1.9650258668715777e-06,4.768373855769089e-07,0.0,2.535594653373441e-07,0.0
20.0,1.0,200.0,8,8,8,0.0,2.1402994106404603e-07,4.768373855769089e-07,0.0,6.053680908133763e-07,0.0,0.0,0.0,4.768373855769089e-07,0.0,1.7122395285123682e-06,4.768373855769089e-07,0.0,2.1402994106404606e-07,0.0
20.0,1.0,400.0,8,8,8,0.0,3.069689195688881e-08,4.768373855769089e-07,0.0,8.682392185626746e-08,0.0,0.0,0.0,4.768373855769089e-07,0.0,2.4557513565511046e-07,4.768373855769089e-07,0.0,3.069689195688881e-08,0.0
40.0,0.1,200.0,8,8,8,0.0,0.0,4.547473508866709e-13,0.0,0.0,0.0,0.0,0.0,4.547473508866709e-13,0.0,0.0,4.547473508866709e-13,0.0,0.0,0.0
40.0,0.1,400.0,8,8,8,0.0,0.0,4.547473508866709e-13,0.0,0.0,0.0,0.0,0.0,4.547473508866709e-13,0.0,0.0,4.547473508866709e-13,0.0,0.0,0.0
40.0,0.2,200.0,8,8,8,0.0,0.0,4.547473508866709e-13,0.0,0.0,0.0,0.0,0.0,4.547473508866709e-13,0.0,0.0,4.547473508866709e-13,0.0,0.0,0.0
40.0,0.2,400.0,8,8,8,0.0,0.0,4.547473508866709e-13,0.0,0.0,0.0,0.0,0.0,4.547473508866709e-13,0.0,0.0,4.547473508866709e-13,0.0,0.0,0.0
