,E(T),K,PFV1(K),PFV2(K),PMC(K),Pr(K),buffer_size_activation,buffer_size_activation_value,integral,nmeantimes,nparticles,rep,seed
1,3.9866821141932225,5.0,0.00906072802870563,0.09576358919053939,0.013460400359116382,0.015873015873015872,1.0,1.0,0.036122242373609954,30.0,200.0,1.0,1717.0
1,3.967946714412358,5.0,0.013393807794756556,0.12511002929919177,0.014687696700734531,0.015873015873015872,1.0,1.0,0.05314591563267491,30.0,200.0,2.0,1718.0
1,3.8013569392671016,5.0,0.013163226773965897,0.09783543608054542,0.011190214542751062,0.015873015873015872,1.0,1.0,0.050038123440361765,30.0,200.0,3.0,1719.0
1,3.9035815972056,5.0,0.0132538211178828,0.08567801690555125,0.015369499787160764,0.015873015873015872,1.0,1.0,0.05173737220842225,30.0,200.0,4.0,1720.0
1,3.8773527632545983,5.0,0.009461739213843657,0.05520587189351886,0.01426364381023026,0.015873015873015872,1.0,1.0,0.036686500685991094,30.0,200.0,5.0,1721.0
1,3.970324417945942,5.0,0.014439832932150544,0.09955344776255284,0.016922908999264612,0.015873015873015872,1.0,1.0,0.05733082128157725,30.0,200.0,6.0,1722.0
1,3.9198054232225585,5.0,0.011909193633017795,0.08325115645582717,0.014162211512998613,0.015873015873015872,1.0,1.0,0.04668172178891072,30.0,200.0,7.0,1723.0
1,3.9444413772156888,5.0,0.016871788129293384,0.08873526060174182,0.014423168505436791,0.015873015873015872,1.0,1.0,0.0665497792048013,30.0,200.0,8.0,1724.0
2,3.9175314793135545,5.0,0.012629677960573002,0.07828558980238569,0.01426572230146301,0.015873015873015872,1.0,1.0,0.04947716098413735,30.0,400.0,1.0,1717.0
2,3.931794502121501,5.0,0.01439978972986852,0.09963258569023649,0.014902165682194159,0.015873015873015872,1.0,1.0,0.0566170140916027,30.0,400.0,2.0,1718.0
2,3.8634214059680123,5.0,0.0103693002091906,0.06506726174486097,0.012648715464150334,0.015873015873015872,1.0,1.0,0.040060976393095554,30.0,400.0,3.0,1719.0
2,3.8566755910486523,5.0,0.012362295182205656,0.07812318663509567,0.016743788582624396,0.015873015873015872,1.0,1.0,0.0476773620785509,30.0,400.0,4.0,1720.0
2,3.9110627681903427,5.0,0.013394233978928445,0.07843580355234538,0.014677700305373312,0.015873015873015872,1.0,1.0,0.052385689823417035,30.0,400.0,5.0,1721.0
2,3.97680745312151,5.0,0.01254497159407419,0.08655871756076218,0.01745274309478975,0.015873015873015872,1.0,1.0,0.04988893653451187,30.0,400.0,6.0,1722.0
2,3.8840471271653603,5.0,0.011907212644700864,0.08045725118298287,0.014397399330412845,0.015873015873015872,1.0,1.0,0.04624817506519744,30.0,400.0,7.0,1723.0
2,3.9388097618241735,5.0,0.010913940914296637,0.10560869613508321,0.014358935328736845,0.015873015873015872,1.0,1.0,0.04298793701320384,30.0,400.0,8.0,1724.0
3,7.782144660674448,5.0,0.011316027238225617,0.0619598577068722,0.013468962462747081,0.015873015873015872,0.4,2.0,0.08806296095200411,30.0,200.0,1.0,1717.0
3,7.897851315041523,5.0,0.01187195157963463,0.06844781313029749,0.014700110150875701,0.015873015873015872,0.4,2.0,0.09376290839532665,30.0,200.0,2.0,1718.0
3,7.928416416464592,5.0,0.014517077535479558,0.050032868944558,0.011198911565537182,0.015873015873015872,0.4,2.0,0.11509743585138547,30.0,200.0,3.0,1719.0
3,8.219179777535974,5.0,0.010797610006518755,0.07151747810792618,0.015385072658643572,0.015873015873015872,0.4,2.0,0.08874749781129902,30.0,200.0,4.0,1720.0
3,7.901030802400756,5.0,0.014104782317411448,0.0662066409702406,0.01426693173317213,0.015873015873015872,0.4,2.0,0.11144231955102536,30.0,200.0,5.0,1721.0
3,7.678694992320027,5.0,0.012402009268844978,0.08346595397148784,0.016939678109945778,0.015873015873015872,0.4,2.0,0.0952312464673865,30.0,200.0,6.0,1722.0
