,E(T),K,PFV1(K),PFV2(K),PMC(K),Pr(K),buffer_size_activation,buffer_size_activation_value,integral,nmeantimes,nparticles,rep,seed
1,3.9143308811638415,5.0,0.01316005934125281,0.08641962248227177,0.014869552691895901,0.015873015873015872,1.0,1.0,0.05151282667741456,50.0,400.0,1.0,1717.0
1,3.964295982010902,5.0,0.0159884436496471,0.09603732463211426,0.015992654310304753,0.015873015873015872,1.0,1.0,0.06338292291890373,50.0,400.0,2.0,1718.0
1,3.8999698499494473,5.0,0.011898552855983728,0.07339793624661214,0.014111436451177645,0.015873015873015872,1.0,1.0,0.04640399739636643,50.0,400.0,3.0,1719.0
1,3.8617020241896083,5.0,0.01366587181776014,0.1008953395485632,0.01589126249008462,0.015873015873015872,1.0,1.0,0.052773524860960055,50.0,400.0,4.0,1720.0
1,3.9663320794271253,5.0,0.01396333643399364,0.08131927013792256,0.01543999642411767,0.015873015873015872,1.0,1.0,0.055383229233982534,50.0,400.0,5.0,1721.0
1,3.952437601938968,5.0,0.01394924201672467,0.1298327957256198,0.01718387944275524,0.015873015873015872,1.0,1.0,0.055133508665449554,50.0,400.0,6.0,1722.0
1,3.883315736929035,5.0,0.012032470792836297,0.08573553901214694,0.014388541621103987,0.015873015873015872,1.0,1.0,0.046725883183960176,50.0,400.0,7.0,1723.0
1,3.974885258802901,5.0,0.012137006536579896,0.1262822421972565,0.01536403470583363,0.015873015873015872,1.0,1.0,0.04824320836824588,50.0,400.0,8.0,1724.0
2,7.914932969735564,5.0,0.015379853195093189,0.07822060128897584,0.014873416974970119,0.015873015873015872,0.4,2.0,0.12173050712353593,50.0,400.0,1.0,1717.0
2,7.748764722913844,5.0,0.016284203560704175,0.06887812108109168,0.01599441685199446,0.015873015873015872,0.4,2.0,0.1261824620919325,50.0,400.0,2.0,1718.0
2,7.869896298622845,5.0,0.014004118559675715,0.0813791344918169,0.01411259295980254,0.015873015873015872,0.4,2.0,0.1102109608182674,50.0,400.0,3.0,1719.0
2,7.837313776365274,5.0,0.013449652891034595,0.08081553518349588,0.015893526298655872,0.015873015873015872,0.4,2.0,0.10540914989023646,50.0,400.0,4.0,1720.0
2,7.881446335380009,5.0,0.014020679701265713,0.06805750503144986,0.015451461765961471,0.015873015873015872,0.4,2.0,0.11050323465107753,50.0,400.0,5.0,1721.0
