,,,n,n,n,mean,mean,mean,std,std,std,min,min,min,max,max,max,SE,SE,SE
,,,PMC(K),PFV1(K),Pr(K),PMC(K),PFV1(K),Pr(K),PMC(K),PFV1(K),Pr(K),PMC(K),PFV1(K),Pr(K),PMC(K),PFV1(K),Pr(K),PMC(K),PFV1(K),Pr(K)
K,buffer_size_activation,nparticles,,,,,,,,,,,,,,,,,,
5.0,0.4,400.0,8,8,8,0.01540761885418274,0.014530780028352461,0.015873015873015872,0.0009817660132368006,0.0011485590709529787,0.0,0.01411259295980254,0.012928202306346224,0.015873015873015872,0.01718471716053789,0.016284203560704175,0.015873015873015872,0.0003471067027491117,0.0004060769538320861,0.0
5.0,0.6,400.0,8,8,8,0.015414656215212319,0.014713906977196423,0.015873015873015872,0.0009795553145385903,0.0009085656259869864,0.0,0.014121893155088959,0.01390137765295607,0.015873015873015872,0.017185818709803565,0.016557963921411126,0.015873015873015872,0.00034632510272877934,0.00032122645764419926,0.0
5.0,1.0,400.0,8,8,8,0.01540516976715918,0.013349372930597287,0.015873015873015872,0.000981420374080781,0.001370424436208924,0.0,0.014111436451177645,0.011898552855983728,0.015873015873015872,0.01718387944275524,0.0159884436496471,0.015873015873015872,0.0003469845008535792,0.0004845182059735407,0.0
10.0,0.2,400.0,8,8,8,0.0004943720647695707,0.0004162742812423773,0.0004885197850512946,0.00014585258664800012,9.467914828824142e-05,0.0,0.00031684873393285476,0.00025920049160671965,0.0004885197850512946,0.0006863326199827095,0.0005170195345968902,0.0004885197850512946,5.156667653619969e-05,3.34741338957911e-05,0.0
10.0,0.4,400.0,8,8,8,0.0004947519241601305,0.00040453149273038245,0.0004885197850512946,0.00014584865086951032,7.141598419782595e-05,0.0,0.00031724713639703754,0.00030263497799862146,0.0004885197850512946,0.0006865910489305407,0.0005408523367457121,0.0004885197850512946,5.156528502837e-05,2.524936335569702e-05,0.0
10.0,0.6,400.0,8,8,8,0.0004983543797652779,0.00039513942926757263,0.0004885197850512946,0.0001467987876963001,6.994848438024182e-05,0.0,0.00032186752048128544,0.0002849021618773918,0.0004885197850512946,0.0006938379529104954,0.0004902874394735523,0.0004885197850512946,5.1901209125009054e-05,2.4730523819495143e-05,0.0
10.0,1.0,400.0,8,8,8,0.0004942965608572767,0.00039966788879938786,0.0004885197850512946,0.00014584476564575904,0.00018646177894301257,0.0,0.0003168890874560673,0.00018503566463934766,0.0004885197850512946,0.0006862569879751833,0.0006894664894013408,0.0004885197850512946,5.1563911394339515e-05,6.592419416135559e-05,0.0
20.0,0.1,400.0,8,8,8,0.0,7.500601152573654e-07,4.768373855769089e-07,0.0,1.912862359455287e-06,0.0,0.0,0.0,4.768373855769089e-07,0.0,5.468521939223773e-06,4.768373855769089e-07,0.0,6.762989729236662e-07,0.0
20.0,0.2,400.0,8,8,8,0.0,5.494525018068399e-07,4.768373855769089e-07,0.0,8.770246116163664e-07,0.0,0.0,0.0,4.768373855769089e-07,0.0,2.3922895288283775e-06,4.768373855769089e-07,0.0,3.100750250707154e-07,0.0
20.0,0.4,400.0,8,8,8,0.0,3.0080302375587346e-07,4.768373855769089e-07,0.0,1.544175283638387e-07,0.0,0.0,1.0009910049627905e-07,4.768373855769089e-07,0.0,5.847525320694968e-07,4.768373855769089e-07,0.0,5.459484072006819e-08,0.0
20.0,0.6,400.0,8,8,8,0.0,1.0588377156634441e-06,4.768373855769089e-07,0.0,6.798043943930411e-07,0.0,0.0,2.3262141205729012e-07,4.768373855769089e-07,0.0,2.0112323810982837e-06,4.768373855769089e-07,0.0,2.4034714857786677e-07,0.0
20.0,1.0,400.0,8,8,8,0.0,8.061800288044534e-07,4.768373855769089e-07,0.0,2.1821025862570064e-06,0.0,0.0,0.0,4.768373855769089e-07,0.0,6.20236785684299e-06,4.768373855769089e-07,0.0,7.714897679935162e-07,0.0
40.0,0.1,400.0,8,8,8,0.0,0.0,4.547473508866709e-13,0.0,0.0,0.0,0.0,0.0,4.547473508866709e-13,0.0,0.0,4.547473508866709e-13,0.0,0.0,0.0
40.0,0.2,400.0,8,8,8,0.0,0.0,4.547473508866709e-13,0.0,0.0,0.0,0.0,0.0,4.547473508866709e-13,0.0,0.0,4.547473508866709e-13,0.0,0.0,0.0
40.0,0.4,400.0,2,8,8,0.0,2.923375799184432e-11,4.547473508866709e-13,0.0,8.268555406239818e-11,0.0,0.0,0.0,4.547473508866709e-13,0.0,2.3387006393475455e-10,4.547473508866709e-13,0.0,2.923375799184432e-11,0.0
40.0,0.6,400.0,0,8,8,,4.464191834039288e-10,4.547473508866709e-13,,7.122455644350395e-10,0.0,,0.0,4.547473508866709e-13,,1.944147249585884e-09,4.547473508866709e-13,,2.518168342410282e-10,0.0
40.0,1.0,400.0,8,8,8,0.0,0.0,4.547473508866709e-13,0.0,0.0,0.0,0.0,0.0,4.547473508866709e-13,0.0,0.0,4.547473508866709e-13,0.0,0.0,0.0
