,,,n,n,n,mean,mean,mean,std,std,std,min,min,min,max,max,max,SE,SE,SE
,,,PMC(K),PFV1(K),Pr(K),PMC(K),PFV1(K),Pr(K),PMC(K),PFV1(K),Pr(K),PMC(K),PFV1(K),Pr(K),PMC(K),PFV1(K),Pr(K),PMC(K),PFV1(K),Pr(K)
K,buffer_size_activation,nparticles,,,,,,,,,,,,,,,,,,
5.0,0.4,200.0,12,12,12,0.058383643953638625,0.059149833231913744,0.05714392571663655,0.0042465030011151,0.013885429397643563,0.0,0.052213207046722714,0.03613181994974283,0.05714392571663656,0.06343477615888395,0.08268920812561494,0.05714392571663656,0.0012258598254041783,0.004008378200271528,0.0
5.0,0.6,200.0,12,12,12,0.05840088884974561,0.056187335227180446,0.05714392571663655,0.004253332601741702,0.01236662691791568,0.0,0.05221321470149121,0.04146641237757686,0.05714392571663656,0.0634844094205877,0.08307607246908955,0.05714392571663656,0.0012278313612842915,0.003569937690013145,0.0
5.0,1.0,200.0,12,12,12,0.05838879951066631,0.06421136272423157,0.05714392571663655,0.004248463560644602,0.02039111754316427,0.0,0.052247853686955704,0.04075649363034449,0.05714392571663656,0.06342231472025381,0.11312780473321474,0.05714392571663656,0.0012264257901902385,0.005886408601311596,0.0
20.0,0.2,800.0,12,12,12,0.00025168111127043836,0.00023752915716551955,0.00023951057653476347,0.00015978526359736606,0.0001748383550931695,0.0,9.07239839761018e-06,7.555148062415664e-05,0.00023951057653476344,0.0005533754098149772,0.0006559270162018103,0.00023951057653476344,4.612603247523731e-05,5.0471485688856394e-05,0.0
20.0,0.4,800.0,12,12,12,0.0002524070474830617,0.00026413856004204407,0.00023951057653476347,0.00016040413297353228,0.0001505922108888445,0.0,9.079027240030095e-06,0.00011287447428907911,0.00023951057653476344,0.0005551891549993459,0.000666987841977824,0.00023951057653476344,4.6304684675698694e-05,4.3472226747267636e-05,0.0
20.0,0.6,800.0,12,12,12,0.00025461056907616196,0.000253412141191553,0.00023951057653476347,0.00016205389472175835,0.00011765240804348061,0.0,9.173268073434609e-06,8.738881101212155e-05,0.00023951057653476344,0.0005631027327280255,0.00044650896176560723,0.00023951057653476344,4.6780929870417234e-05,3.3963324727355614e-05,0.0
20.0,1.0,800.0,12,12,12,0.00025166264008495123,0.00024193124045157748,0.00023951057653476347,0.0001597279375628048,0.0001555160733307399,0.0,9.073959060870353e-06,7.86147623948398e-05,0.00023951057653476344,0.0005528789396176087,0.0005624351021832291,0.00023951057653476344,4.6109483874494545e-05,4.489362340040814e-05,0.0
30.0,0.2,1200.0,12,12,12,9.272987216093758e-06,4.32806996145137e-06,6.761908773481668e-06,2.1930334234522493e-05,4.322619735941293e-06,0.0,0.0,4.723753183839926e-07,6.761908773481669e-06,6.373229298870859e-05,1.2984499446493255e-05,6.761908773481669e-06,6.3307421868600135e-06,1.2478328340750474e-06,0.0
30.0,0.4,1200.0,12,12,12,9.303073482169646e-06,6.239889428207021e-06,6.761908773481668e-06,2.2011536309744258e-05,3.0127203312453415e-06,0.0,0.0,1.5524916508284435e-06,6.761908773481669e-06,6.408749358931279e-05,1.121582490623702e-05,6.761908773481669e-06,6.354183206854035e-06,8.696974471187782e-07,0.0
30.0,0.6,1200.0,12,12,12,9.304382493707019e-06,7.014262776960356e-06,6.761908773481668e-06,2.2014727454767773e-05,4.084930534907201e-06,0.0,0.0,2.397357536328602e-06,6.761908773481669e-06,6.409788666616058e-05,1.4928563091179575e-05,6.761908773481669e-06,6.3551044110732094e-06,1.1792178719747973e-06,0.0
30.0,1.0,1200.0,12,12,12,9.264890139161638e-06,2.4672710169465817e-06,6.761908773481668e-06,2.1911783638935437e-05,3.1969742893328076e-06,0.0,0.0,0.0,6.761908773481669e-06,6.368555992756587e-05,1.109435864768128e-05,6.761908773481669e-06,6.3253870911821065e-06,9.228869832693046e-07,0.0
40.0,0.2,1600.0,12,12,12,0.0,1.2400197940661174e-07,1.9100425795336106e-07,0.0,2.79573773209417e-07,0.0,0.0,0.0,1.9100425795336106e-07,0.0,9.66353038839635e-07,1.9100425795336106e-07,0.0,8.070599661040816e-08,0.0
40.0,0.4,1600.0,12,12,12,0.0,1.4162474880779448e-07,1.9100425795336106e-07,0.0,9.964950890184843e-08,0.0,0.0,1.3458363767096602e-08,1.9100425795336106e-07,0.0,3.852159182899279e-07,1.9100425795336106e-07,0.0,2.87663353945481e-08,0.0
40.0,0.6,1600.0,12,12,12,0.0,5.822791993842707e-07,1.9100425795336106e-07,0.0,1.2120972002662682e-06,0.0,0.0,1.1492614516599677e-08,1.9100425795336106e-07,0.0,4.352362844833686e-06,1.9100425795336106e-07,0.0,3.4990232242886086e-07,0.0
40.0,1.0,1600.0,12,12,12,0.0,0.0,1.9100425795336106e-07,0.0,0.0,0.0,0.0,0.0,1.9100425795336106e-07,0.0,0.0,1.9100425795336106e-07,0.0,0.0,0.0
