,rhos,K,nparticles,nmeantimes,multiplier,buffer_size_activation,buffer_size_activation_value,rep,seed,integral,E(T),PMC(K),PFV(K),Pr(K)
0,0.7,10.0,200.0,50.0,1.2,1.0,1.0,1.0,1313.0,0.052834418629673224,4.625233369691544,0.009257083732804393,0.011423081692675054,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,1.0,1.0,2.0,1314.0,0.048904156873888244,4.708325506822176,0.009767865991796978,0.010386740849380119,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,1.0,1.0,3.0,1315.0,0.04151978975950911,4.728444107433949,0.008378204842119936,0.008780856623478465,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,1.0,1.0,4.0,1316.0,0.0421346109464894,4.437195661556561,0.008966948892791027,0.00949577484525635,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,1.0,1.0,5.0,1317.0,0.04279120859734892,4.494511576248872,0.009102347884537813,0.009520769469919253,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,1.0,1.0,6.0,1318.0,0.03360569911978126,4.609745517136657,0.009206733995175324,0.007290141938389569,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,1.0,1.0,7.0,1319.0,0.047229979779856865,4.872548250306083,0.012467282727400265,0.009693075851406907,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,1.0,1.0,8.0,1320.0,0.030040494698775424,4.6159873743561395,0.008817725471652552,0.0065079239310020034,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,1.0,1.0,9.0,1321.0,0.031405508048330866,4.718568183581191,0.007005645451458805,0.0066557283537006,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,1.0,1.0,10.0,1322.0,0.038265138069362464,4.626852066974033,0.00933419471823769,0.008270231577641061,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,1.0,1.0,11.0,1323.0,0.04219004535806427,4.614270802620602,0.008878719999725362,0.009143383031204648,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,1.0,1.0,12.0,1324.0,0.025000693113653424,4.568387593826803,0.007131088481727918,0.0054725420293664446,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,0.2,2.0,1.0,1313.0,0.05121766549747812,6.668256513145616,0.009254083187935283,0.0076808181263736675,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,0.2,2.0,2.0,1314.0,0.05624478215228535,6.8466244019770075,0.009768552233029621,0.008214965339130376,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,0.2,2.0,3.0,1315.0,0.06637794033981868,6.747833668387665,0.008378748596586319,0.009836925982747156,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,0.2,2.0,4.0,1316.0,0.05258917608152585,6.837998435402817,0.008968620566456972,0.00769072654495685,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,0.2,2.0,5.0,1317.0,0.05577875155747603,6.4392216774515525,0.009100869493417308,0.0086623437352372,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,0.2,2.0,6.0,1318.0,0.06530401793487403,6.71095618821845,0.009218099869188387,0.009730955783844896,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,0.2,2.0,7.0,1319.0,0.051805714388443454,6.7723104548942565,0.01246794242068922,0.0076496366688275745,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,0.2,2.0,8.0,1320.0,0.05261233715375804,6.7068649859919605,0.008819331492775435,0.007844549914698568,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,0.2,2.0,9.0,1321.0,0.05463930399508213,6.549167909261044,0.007007029395831828,0.00834293833233651,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,0.2,2.0,10.0,1322.0,0.0567028603790066,6.699397151351199,0.00933715177752681,0.008463875046961535,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,0.2,2.0,11.0,1323.0,0.03896983154094069,6.67432032207685,0.008883402549162285,0.005838771539333976,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,0.2,2.0,12.0,1324.0,0.0518146380263584,6.553925829203676,0.007131951529935933,0.007905893257973298,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,0.4,4.0,1.0,1313.0,0.11405922024361775,13.712901915875776,0.009252081243496791,0.008317657410760628,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,0.4,4.0,2.0,1314.0,0.13116152968840467,13.281016199107135,0.009771169331734535,0.0098758655002034,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,0.4,4.0,3.0,1315.0,0.09535452387263504,13.959410623523418,0.008384276649523481,0.006830841676936582,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,0.4,4.0,4.0,1316.0,0.10745665028989543,14.824578728115764,0.008957262517317571,0.007248546637355502,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,0.4,4.0,5.0,1317.0,0.12179790201358927,14.476956545903532,0.00909081581609797,0.008413225640858456,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,0.4,4.0,6.0,1318.0,0.11678918887720047,13.397783223233812,0.009288322387222462,0.008717053181952525,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,0.4,4.0,7.0,1319.0,0.12875269762802402,13.454371649911147,0.012487435571506141,0.009569580875140631,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,0.4,4.0,8.0,1320.0,0.13283728199912997,13.850368517898001,0.008820944844023132,0.00959088430228209,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,0.4,4.0,9.0,1321.0,0.13296627068415934,14.088457557818133,0.007044902207512193,0.009437957997777559,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,0.4,4.0,10.0,1322.0,0.11293840928186774,13.654579297979442,0.009344903529844488,0.008271101351220684,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,0.4,4.0,11.0,1323.0,0.08483298986807433,13.447777592019236,0.008883667827797266,0.006308327847303156,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,0.4,4.0,12.0,1324.0,0.14073013894322067,13.660270715238296,0.007152617196252884,0.010302148608682659,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,0.6,6.0,1.0,1313.0,0.255788769961662,25.697796604653796,0.009252457503099111,0.009953723811299036,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,0.6,6.0,2.0,1314.0,0.2359885795528452,26.310344569643405,0.009816309556351158,0.008969421853377256,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,0.6,6.0,3.0,1315.0,0.23464475868313453,25.968509704432726,0.008417145776075979,0.009035742187511114,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,0.6,6.0,4.0,1316.0,0.29919728637215304,26.651579676253817,0.008957391766149396,0.011226249625973713,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,0.6,6.0,5.0,1317.0,0.22233498885096134,28.612830406279084,0.00906328750885244,0.0077704647074051765,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,0.6,6.0,6.0,1318.0,0.293547512173064,28.016134078495377,0.009442711051559381,0.010477802231764203,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,0.6,6.0,7.0,1319.0,0.2158670641322499,27.504332672514295,0.012512125141470775,0.007848474882212677,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,0.6,6.0,8.0,1320.0,0.2615891120039448,25.946532438600926,0.008825165806626565,0.010081852464215063,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,0.6,6.0,9.0,1321.0,0.2520913044136029,27.209810167220763,0.007050565346858518,0.009264721174618608,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,0.6,6.0,10.0,1322.0,0.24420183073607132,29.117076420240448,0.009390520850908864,0.008386893904166725,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,0.6,6.0,11.0,1323.0,0.24539995094762906,27.297257486064343,0.00890674272342124,0.008989912304300511,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,0.6,6.0,12.0,1324.0,0.2798674007246687,29.060077859791658,0.0071533174517133796,0.009630648688381566,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,0.8,8.0,1.0,1313.0,0.5127672529734181,57.29646261817441,0.009288268174990911,0.008949370162526728,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,0.8,8.0,2.0,1314.0,0.43845148635921743,48.70313662310915,0.00997147334842834,0.009002530776450579,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,0.8,8.0,3.0,1315.0,0.487140660972549,47.63022973693343,0.008421928348069527,0.010227552200841273,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,0.8,8.0,4.0,1316.0,0.5230417859272675,56.74165796231897,0.008957906663707944,0.009217950350950431,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,0.8,8.0,5.0,1317.0,0.4999698908622285,59.303820741196716,0.00918374266374184,0.008430652268495634,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,0.8,8.0,6.0,1318.0,0.6093655968348438,60.07510984672843,0.00956992168943634,0.01014339546593486,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,0.8,8.0,7.0,1319.0,0.44459101384941263,50.13953731636592,0.01299480078898727,0.008867074521333783,0.00864520134824504
