rhos,K,nparticles,nmeantimes,multiplier,buffer_size_activation,buffer_size_activation_value,rep,seed,integral,E(T),PMC(K),PFV(K),Pr(K),maxtime(MC),maxtime(FV),ratio_maxtime_mc_fv
0.7,30,800,50,1.2,1,1,1,1313,0.000067,4.804233,0.000000,1.39E-05,0.000007,68571.42857,71.428571,1.2
0.7,30,800,50,1.2,1,1,2,1314,0,4.698599,0.000000,0.00E+00,0.000007,68571.42857,71.428571,1.2
0.7,30,800,50,1.2,1,1,3,1315,0,4.913017,0.000000,0.00E+00,0.000007,68571.42857,71.428571,1.2
0.7,30,800,50,1.2,1,1,4,1316,0,4.741576,0.000050,0.00E+00,0.000007,68571.42857,71.428571,1.2
0.7,30,800,50,1.2,1,1,5,1317,0.000134,4.746716,0.000000,2.83E-05,0.000007,68571.42857,71.428571,1.2
0.7,30,800,50,1.2,1,1,6,1318,0,4.76602,0.000000,0.00E+00,0.000007,68571.42857,71.428571,1.2
0.7,30,800,50,1.2,1,1,7,1319,0.000017,4.814597,0.000000,3.44E-06,0.000007,68571.42857,71.428571,1.2
0.7,30,800,50,1.2,1,1,8,1320,0.000033,4.658683,0.000000,7.06E-06,0.000007,68571.42857,71.428571,1.2
0.7,30,800,50,1.2,1,1,9,1321,0,4.664901,0.000000,0.00E+00,0.000007,68571.42857,71.428571,1.2
0.7,30,800,50,1.2,1,1,10,1322,0.000099,4.800347,0.000000,2.06E-05,0.000007,68571.42857,71.428571,1.2
0.7,30,800,50,1.2,1,1,11,1323,0,4.762269,0.000000,0.00E+00,0.000007,68571.42857,71.428571,1.2
0.7,30,800,50,1.2,1,1,12,1324,0,4.830261,0.000000,0.00E+00,0.000007,68571.42857,71.428571,1.2
0.7,30,800,50,1.2,0.2,6,1,1313,0.000208,26.987772,0.000000,7.69E-06,0.000007,68571.42857,71.428571,1.2
0.7,30,800,50,1.2,0.2,6,2,1314,0.000027,28.381159,0.000000,9.48E-07,0.000007,68571.42857,71.428571,1.2
0.7,30,800,50,1.2,0.2,6,3,1315,0.000082,26.187974,0.000000,3.12E-06,0.000007,68571.42857,71.428571,1.2
0.7,30,800,50,1.2,0.2,6,4,1316,0.000495,28.38433,0.000050,1.75E-05,0.000007,68571.42857,71.428571,1.2
0.7,30,800,50,1.2,0.2,6,5,1317,0.000241,28.344764,0.000000,8.49E-06,0.000007,68571.42857,71.428571,1.2
0.7,30,800,50,1.2,0.2,6,6,1318,0.000032,28.171369,0.000000,1.14E-06,0.000007,68571.42857,71.428571,1.2
0.7,30,800,50,1.2,0.2,6,7,1319,0.000211,28.380121,0.000000,7.44E-06,0.000007,68571.42857,71.428571,1.2
0.7,30,800,50,1.2,0.2,6,8,1320,0.00013,28.699724,0.000000,4.53E-06,0.000007,68571.42857,71.428571,1.2
0.7,30,800,50,1.2,0.2,6,9,1321,0.000226,29.216185,0.000000,7.72E-06,0.000007,68571.42857,71.428571,1.2
0.7,30,800,50,1.2,0.2,6,10,1322,0.00051,29.070805,0.000000,1.75E-05,0.000007,68571.42857,71.428571,1.2
