,rhos,K,nparticles,nmeantimes,multiplier,buffer_size_activation,buffer_size_activation_value,rep,seed,integral,E(T),PMC(K),PFV(K),Pr(K),maxtime(MC),maxtime(FV),ratio_maxtime_mc_fv
0,0.7,40.0,800.0,50.0,1.2,1.0,1.0,1.0,1313.0,0.0,4.8042327822481905,0.0,0.0,1.9100425795336106e-07,68571.42857142858,71.42857142857143,1.2000000000000002
0,0.7,40.0,800.0,50.0,1.2,1.0,1.0,2.0,1314.0,0.0,4.698599027760947,0.0,0.0,1.9100425795336106e-07,68571.42857142858,71.42857142857143,1.2000000000000002
0,0.7,40.0,800.0,50.0,1.2,1.0,1.0,3.0,1315.0,0.0,4.913016856186206,0.0,0.0,1.9100425795336106e-07,68571.42857142858,71.42857142857143,1.2000000000000002
0,0.7,40.0,800.0,50.0,1.2,1.0,1.0,4.0,1316.0,0.0,4.742559835987515,0.0,0.0,1.9100425795336106e-07,68571.42857142858,71.42857142857143,1.2000000000000002
0,0.7,40.0,800.0,50.0,1.2,1.0,1.0,5.0,1317.0,0.0,4.746715573651879,0.0,0.0,1.9100425795336106e-07,68571.42857142858,71.42857142857143,1.2000000000000002
0,0.7,40.0,800.0,50.0,1.2,1.0,1.0,6.0,1318.0,0.0,4.766020469364573,0.0,0.0,1.9100425795336106e-07,68571.42857142858,71.42857142857143,1.2000000000000002
0,0.7,40.0,800.0,50.0,1.2,1.0,1.0,7.0,1319.0,0.0,4.814597389237592,0.0,0.0,1.9100425795336106e-07,68571.42857142858,71.42857142857143,1.2000000000000002
0,0.7,40.0,800.0,50.0,1.2,1.0,1.0,8.0,1320.0,0.0,4.658683033923003,0.0,0.0,1.9100425795336106e-07,68571.42857142858,71.42857142857143,1.2000000000000002
0,0.7,40.0,800.0,50.0,1.2,1.0,1.0,9.0,1321.0,0.0,4.664901472065757,0.0,0.0,1.9100425795336106e-07,68571.42857142858,71.42857142857143,1.2000000000000002
0,0.7,40.0,800.0,50.0,1.2,1.0,1.0,10.0,1322.0,0.0,4.800347182388313,0.0,0.0,1.9100425795336106e-07,68571.42857142858,71.42857142857143,1.2000000000000002
0,0.7,40.0,800.0,50.0,1.2,1.0,1.0,11.0,1323.0,0.0,4.762268564077338,0.0,0.0,1.9100425795336106e-07,68571.42857142858,71.42857142857143,1.2000000000000002
