,rhos,K,nparticles,nmeantimes,multiplier,buffer_size_activation,buffer_size_activation_value,rep,seed,integral,E(T),PMC(K),PFV(K),Pr(K),maxtime(MC),maxtime(FV),ratio_maxtime_mc_fv
0,0.7,5.0,200.0,50.0,1.0,1.0,1.0,1.0,1313.0,0.30060775294022846,4.429408203562473,0.0608681386324662,0.06786634672741529,0.05714392571663656,14285.714285714286,71.42857142857143,1.0
0,0.7,5.0,200.0,50.0,1.0,1.0,1.0,2.0,1314.0,0.3567707858691108,4.39494389065209,0.0593646313586937,0.08117755192004868,0.05714392571663656,14285.714285714286,71.42857142857143,1.0
0,0.7,5.0,200.0,50.0,1.0,1.0,1.0,3.0,1315.0,0.26961321385640585,4.176741584092934,0.05960335925922772,0.06455108807382871,0.05714392571663656,14285.714285714286,71.42857142857143,1.0
0,0.7,5.0,200.0,50.0,1.0,1.0,1.0,4.0,1316.0,0.41262267603142294,4.2473030949102935,0.05405399982014101,0.09714933613423646,0.05714392571663656,14285.714285714286,71.42857142857143,1.0
0,0.7,5.0,200.0,50.0,1.0,1.0,1.0,5.0,1317.0,0.19967840852760188,4.034649590368372,0.0557840954562154,0.049490892345218716,0.05714392571663656,14285.714285714286,71.42857142857143,1.0
0,0.7,5.0,200.0,50.0,1.0,1.0,1.0,6.0,1318.0,0.3263410918220488,4.425770462257637,0.058038776958958184,0.07373656058420582,0.05714392571663656,14285.714285714286,71.42857142857143,1.0
0,0.7,5.0,200.0,50.0,1.0,1.0,1.0,7.0,1319.0,0.20477617030927558,3.9000571535161686,0.0606696184753996,0.05250594087439356,0.05714392571663656,14285.714285714286,71.42857142857143,1.0
0,0.7,5.0,200.0,50.0,1.0,1.0,1.0,8.0,1320.0,0.1870921522404926,4.394496121496356,0.056912011838122355,0.04257419896795504,0.05714392571663656,14285.714285714286,71.42857142857143,1.0
0,0.7,5.0,200.0,50.0,1.0,1.0,1.0,9.0,1321.0,0.18538902742120894,4.094314342978022,0.05504625621747038,0.04527962728097844,0.05714392571663656,14285.714285714286,71.42857142857143,1.0
0,0.7,5.0,200.0,50.0,1.0,1.0,1.0,10.0,1322.0,0.26052227411299284,4.262252537276405,0.05300467486013473,0.06112314365104878,0.05714392571663656,14285.714285714286,71.42857142857143,1.0
0,0.7,5.0,200.0,50.0,1.0,1.0,1.0,11.0,1323.0,0.25193206732340234,4.576271604369175,0.057061727354203264,0.055051817091203964,0.05714392571663656,14285.714285714286,71.42857142857143,1.0
0,0.7,5.0,200.0,50.0,1.0,1.0,1.0,12.0,1324.0,0.2509280204432418,4.371484414940946,0.05479633611421794,0.057401101462380845,0.05714392571663656,14285.714285714286,71.42857142857143,1.0
0,0.7,5.0,200.0,50.0,1.0,2.0,2.0,1.0,1313.0,0.3278287922100799,6.313486645457324,0.060874781673952605,0.05192515809722335,0.05714392571663656,14285.714285714286,71.42857142857143,1.0
0,0.7,5.0,200.0,50.0,1.0,2.0,2.0,2.0,1314.0,0.39303621544342726,6.357385882911472,0.05937960871501154,0.0618235580916837,0.05714392571663656,14285.714285714286,71.42857142857143,1.0
0,0.7,5.0,200.0,50.0,1.0,2.0,2.0,3.0,1315.0,0.3976258255844064,6.042827131684876,0.059614045446167795,0.06580129083943187,0.05714392571663656,14285.714285714286,71.42857142857143,1.0
0,0.7,5.0,200.0,50.0,1.0,2.0,2.0,4.0,1316.0,0.528254277203492,5.613090059350376,0.05413067617274897,0.09411113515335774,0.05714392571663656,14285.714285714286,71.42857142857143,1.0
0,0.7,5.0,200.0,50.0,1.0,2.0,2.0,5.0,1317.0,0.2939474465848763,6.205641373273255,0.055888718421344206,0.04736777859108373,0.05714392571663656,14285.714285714286,71.42857142857143,1.0
0,0.7,5.0,200.0,50.0,1.0,2.0,2.0,6.0,1318.0,0.4709709552807916,5.606328901057688,0.058116533020151705,0.08400701485635963,0.05714392571663656,14285.714285714286,71.42857142857143,1.0
0,0.7,5.0,200.0,50.0,1.0,2.0,2.0,7.0,1319.0,0.30612229263578244,6.1275931612451675,0.06068306534681878,0.049957998936988234,0.05714392571663656,14285.714285714286,71.42857142857143,1.0
0,0.7,5.0,200.0,50.0,1.0,2.0,2.0,8.0,1320.0,0.3401679000177989,6.917540591175715,0.056935271997889454,0.049174687959436095,0.05714392571663656,14285.714285714286,71.42857142857143,1.0
0,0.7,5.0,200.0,50.0,1.0,2.0,2.0,9.0,1321.0,0.3052706629638341,6.163779229725561,0.05510231252206188,0.049526540712495,0.05714392571663656,14285.714285714286,71.42857142857143,1.0
0,0.7,5.0,200.0,50.0,1.0,2.0,2.0,10.0,1322.0,0.36463905165079485,6.07061379789354,0.053044236388703495,0.060066257513749596,0.05714392571663656,14285.714285714286,71.42857142857143,1.0
0,0.7,5.0,200.0,50.0,1.0,2.0,2.0,11.0,1323.0,0.21748275859169763,6.0215936780210875,0.056987258253290575,0.036117142773268336,0.05714392571663656,14285.714285714286,71.42857142857143,1.0
0,0.7,5.0,200.0,50.0,1.0,2.0,2.0,12.0,1324.0,0.32696290064704825,5.938653517487322,0.05479654370655514,0.055056739660640806,0.05714392571663656,14285.714285714286,71.42857142857143,1.0
0,0.7,5.0,200.0,50.0,1.0,3.0,3.0,1.0,1313.0,0.5126927556077732,8.506780054876728,0.060998300568421183,0.06026872122006481,0.05714392571663656,14285.714285714286,71.42857142857143,1.0
0,0.7,5.0,200.0,50.0,1.0,3.0,3.0,2.0,1314.0,0.500361055086199,8.32603275165442,0.059399524501808694,0.06009597487912535,0.05714392571663656,14285.714285714286,71.42857142857143,1.0
0,0.7,5.0,200.0,50.0,1.0,3.0,3.0,3.0,1315.0,0.4077576072375511,8.684310606992934,0.059665473056564625,0.04695336517664503,0.05714392571663656,14285.714285714286,71.42857142857143,1.0
0,0.7,5.0,200.0,50.0,1.0,3.0,3.0,4.0,1316.0,0.492447746257716,8.748319642207157,0.05409842140483725,0.05629055251729164,0.05714392571663656,14285.714285714286,71.42857142857143,1.0
0,0.7,5.0,200.0,50.0,1.0,3.0,3.0,5.0,1317.0,0.4636514841111114,8.548707070723308,0.055931072654079844,0.0542364453800242,0.05714392571663656,14285.714285714286,71.42857142857143,1.0
0,0.7,5.0,200.0,50.0,1.0,3.0,3.0,6.0,1318.0,0.4192278687587816,8.843338179854436,0.05819519554762895,0.04740606547353391,0.05714392571663656,14285.714285714286,71.42857142857143,1.0
