,rhos,K,nparticles,nmeantimes,multiplier,buffer_size_activation,buffer_size_activation_value,rep,seed,integral,E(T),n(ET),PMC(K),time(MC),n(MC),n(RT),PFV(K),time(FV),n(FV),n(PT),Pr(K),ratio_mc_fv_time,ratio_mc_fv_events
1,[0.7],20,3200,50,1,0.2,4,1,1313,0.0027322273138077244,13.865859048366984,16482,0.00025738593000551114,520541.333291548,728938,63698,0.00019704709995083252,467782.70606784965,728938,33654,0.00023951057653476344,1.1127844756536296,1.0
2,[0.7],20,3200,50,1,0.2,4,2,1323,0.002648364838791195,13.880133414443481,16467,0.0003373656721021802,518087.4978178032,726674,63280,0.00019080254920571168,467367.3033946577,726674,33883,0.00023951057653476344,1.1085231980387724,1.0
3,[0.7],20,3200,50,1,0.2,4,3,1333,0.0029000703577373005,13.969065630913333,16360,0.0001860567595613078,518928.39998577535,726510,63255,0.00020760660980212507,467450.9715401854,726510,34156,0.00023951057653476344,1.1101236954882756,1.0
4,[0.7],20,3200,50,1,0.2,4,4,1343,0.0028823711657098186,13.788933358414887,16574,0.0002686082955227848,519925.92338866304,727632,63787,0.00020903510741465813,468052.3412063968,727632,34436,0.00023951057653476344,1.1108285924787022,1.0
5,[0.7],20,3200,50,1,0.2,4,5,1353,0.0037393772723724834,14.07907002706616,16234,0.0002434342315358348,518052.0231372572,725422,63560,0.00026559831474548795,467567.51659584965,725422,33716,0.00023951057653476344,1.107972655818699,1.0
6,[0.7],20,3200,50,1,0.2,4,6,1363,0.0025528883598283313,14.008060893955356,16317,0.00036099162857735126,517654.6725402365,727539,63744,0.00018224423631181763,466928.84731082444,727539,34372,0.00023951057653476344,1.1086371628601583,1.0
7,[0.7],20,3200,50,1,0.2,4,7,1373,0.0035389445225101077,13.764516582160068,16605,0.00026371107721056685,518590.157016475,726931,63329,0.00025710634306597206,468452.8610406022,726931,33757,0.00023951057653476344,1.107027409042822,1.0
8,[0.7],20,3200,50,1,0.2,4,8,1383,0.0035569801284294467,13.902226911313425,16440,0.00025649657565039925,519989.210721652,728508,63369,0.0002558568602800483,468372.3096059876,728508,34472,0.00023951057653476344,1.1102048521166559,1.0
9,[0.7],20,3200,50,1,0.4,8,1,1313,0.013885369322071963,59.137942618224976,3864,0.00025709894480540664,521122.384523829,729758,15735,0.00023479628656869787,467680.91001217684,729758,35132,0.00023951057653476344,1.1142690953758636,1.0
10,[0.7],20,3200,50,1,0.4,8,2,1323,0.011240964372821743,56.73063985790586,4029,0.0003369802986434105,518679.98696860264,727500,15987,0.0001981462645402408,467317.11708511156,727500,35178,0.00023951057653476344,1.1099100974598721,1.0
11,[0.7],20,3200,50,1,0.4,8,3,1333,0.011779615499969667,55.62285817881368,4101,0.00018607518479653992,518877.01549918286,726401,15596,0.00021177652291978825,467227.5394019068,726401,34777,0.00023951057653476344,1.1105445885390062,1.0
