,rhos,K,nparticles,nmeantimes,buffer_size_activation,buffer_size_activation_value,burnin_cycles_absorption,rep,seed,Pr(MC),EMC(T),time(MC),n(MC),n(RT),Pr(FV),integral,E(T),n(FV),n(PT),n(ET),Pr(K),ratio_mc_fv_time,ratio_mc_fv_events
1,"[0.4, 0.75, 0.35]",40,1200,800000.0,0.2,8,3,1,1313,,,,,,2.969163156016061e-07,3.312855280852527e-06,11.15753869618139,620750,1200,1200,3.939624007386781e-06,,
2,"[0.4, 0.75, 0.35]",40,1200,800000.0,0.2,8,3,2,1323,,,,,,7.125774851058205e-06,8.597110485211588e-05,12.064807919008112,843259,1200,1200,3.939624007386781e-06,,
3,"[0.4, 0.75, 0.35]",40,1200,800000.0,0.2,8,3,3,1333,,,,,,5.626242508249637e-07,7.662922337936037e-06,13.619964526413606,628440,1200,1200,3.939624007386781e-06,,
4,"[0.4, 0.75, 0.35]",40,1200,800000.0,0.2,8,3,4,1343,,,,,,1.1067621002419085e-06,1.339716851683058e-05,12.104831303766472,577038,1200,1200,3.939624007386781e-06,,
5,"[0.4, 0.75, 0.35]",40,1200,800000.0,0.2,8,3,5,1353,,,,,,5.66817839222143e-07,6.611857772451293e-06,11.66487240684749,496295,1200,1200,3.939624007386781e-06,,
6,"[0.4, 0.75, 0.35]",40,1200,800000.0,0.4,16,3,1,1313,,,,,,4.198236945504114e-06,0.0005109755333731612,121.71193289134482,2161038,1200,1200,3.939624007386781e-06,,
7,"[0.4, 0.75, 0.35]",40,1200,800000.0,0.4,16,3,2,1323,,,,,,5.998033339646255e-06,0.0006866208745342534,114.47433444488792,2310536,1200,1200,3.939624007386781e-06,,
8,"[0.4, 0.75, 0.35]",40,1200,800000.0,0.4,16,3,3,1333,,,,,,8.879776720603078e-06,0.0011614714757448533,130.79962619442654,2538471,1200,1200,3.939624007386781e-06,,
9,"[0.4, 0.75, 0.35]",40,1200,800000.0,0.4,16,3,4,1343,,,,,,6.391374629648041e-06,0.00089325397431762,139.7592890540371,2728882,1200,1200,3.939624007386781e-06,,
10,"[0.4, 0.75, 0.35]",40,1200,800000.0,0.4,16,3,5,1353,,,,,,8.961553251594147e-07,0.0001249486613310228,139.4274606456152,2186539,1200,1200,3.939624007386781e-06,,
11,"[0.4, 0.75, 0.35]",40,1200,800000.0,0.5,20,2,1,1313,,,,,,3.2568959351305344e-06,0.0012986222389059108,398.73003767124135,4809904,1200,1200,3.939624007386781e-06,,
12,"[0.4, 0.75, 0.35]",40,1200,800000.0,0.5,20,2,2,1323,,,,,,3.0875059408091117e-06,0.001353892477687631,438.50684132864535,5083060,1200,1200,3.939624007386781e-06,,
13,"[0.4, 0.75, 0.35]",40,1200,800000.0,0.5,20,2,3,1333,,,,,,3.567540850452276e-06,0.0014856006731545387,416.42148903948816,4913470,1200,1200,3.939624007386781e-06,,
14,"[0.4, 0.75, 0.35]",40,1200,800000.0,0.5,20,2,4,1343,,,,,,2.2558255615521553e-06,0.0008782893153121033,389.34274452843016,4585518,1200,1200,3.939624007386781e-06,,
15,"[0.4, 0.75, 0.35]",40,1200,800000.0,0.5,20,2,5,1353,,,,,,6.196948423396258e-06,0.0026678641497868746,430.5125632019934,5051477,1200,1200,3.939624007386781e-06,,
16,"[0.4, 0.75, 0.35]",40,1200,800000.0,0.6,24,1,1,1313,,,,,,2.8388133822274392e-06,0.0034375884595732554,1210.9244239492753,8750673,1200,1200,3.939624007386781e-06,,
17,"[0.4, 0.75, 0.35]",40,1200,800000.0,0.6,24,1,2,1323,,,,,,2.6685568238182363e-06,0.0036464271380164366,1366.4416307234708,10203956,1200,1200,3.939624007386781e-06,,
18,"[0.4, 0.75, 0.35]",40,1200,800000.0,0.6,24,1,3,1333,,,,,,4.534278114918701e-06,0.0061608309453796434,1358.72365771064,9949458,1200,1200,3.939624007386781e-06,,
19,"[0.4, 0.75, 0.35]",40,1200,800000.0,0.6,24,1,4,1343,,,,,,1.9679819442161223e-06,0.002635057793378741,1338.9644153612014,9687681,1200,1200,3.939624007386781e-06,,
20,"[0.4, 0.75, 0.35]",40,1200,800000.0,0.6,24,1,5,1353,,,,,,4.867449832322469e-06,0.0072427813414654985,1488.0032852870015,10364956,1200,1200,3.939624007386781e-06,,
