casenum,rhos,K,N,nmeantimes,buffer_size_activation,buffer_size_activation_value,burnin_cycles_absorption,rep,seed,E(T),Pr(FV),Pr(K),time_fv_starts,prop_time_fv_starts,n(FV),time(FV),bias,abs(bias),rel. bias,rel. abs(bias)
9,"[0.4, 0.75, 0.35]",40,3200,8000000,0.025,1,4,1,1313,6.632751122,2.11E-06,3.94E-06,,,2686560,,-1.83E-06,1.83E-06,-46.40%,46.41%
9,"[0.4, 0.75, 0.35]",40,3200,8000000,0.025,1,4,2,1323,7.33383763,3.22E-06,3.94E-06,,,2147541,,-7.23E-07,7.23E-07,-18.30%,18.35%
9,"[0.4, 0.75, 0.35]",40,3200,8000000,0.025,1,4,3,1333,6.591055456,3.54E-06,3.94E-06,,,2486075,,-3.96E-07,3.96E-07,-10.00%,10.04%
9,"[0.4, 0.75, 0.35]",40,3200,8000000,0.025,1,4,4,1343,6.916065274,4.42E-06,3.94E-06,,,3037454,,4.85E-07,4.85E-07,12.30%,12.30%
9,"[0.4, 0.75, 0.35]",40,3200,8000000,0.025,1,4,5,1353,6.64238845,1.35E-06,3.94E-06,,,2126704,,-2.59E-06,2.59E-06,-65.70%,65.69%
9,"[0.4, 0.75, 0.35]",40,3200,8000000,0.025,1,4,6,1363,6.778589021,1.11E-06,3.94E-06,,,2340022,,-2.83E-06,2.83E-06,-71.80%,71.81%
9,"[0.4, 0.75, 0.35]",40,3200,8000000,0.025,1,4,7,1373,6.625228055,1.02E-06,3.94E-06,,,2085699,,-2.92E-06,2.92E-06,-74.00%,74.01%
9,"[0.4, 0.75, 0.35]",40,3200,8000000,0.025,1,4,8,1383,6.462473895,6.41E-06,3.94E-06,,,2624952,,2.47E-06,2.47E-06,62.70%,62.69%
9,"[0.4, 0.75, 0.35]",40,3200,8000000,0.025,1,4,9,1393,6.62623561,3.76E-06,3.94E-06,,,2830026,,-1.81E-07,1.81E-07,-4.60%,4.60%
9,"[0.4, 0.75, 0.35]",40,3200,8000000,0.025,1,4,10,1403,6.863301876,5.33E-06,3.94E-06,,,2732000,,1.39E-06,1.39E-06,35.30%,35.29%
9,"[0.4, 0.75, 0.35]",40,3200,8000000,0.025,1,4,11,1413,7.147582867,2.38E-06,3.94E-06,,,2436211,,-1.56E-06,1.56E-06,-39.50%,39.52%
9,"[0.4, 0.75, 0.35]",40,3200,8000000,0.025,1,4,12,1423,6.792682214,1.01E-06,3.94E-06,,,2071061,,-2.93E-06,2.93E-06,-74.40%,74.41%
9,"[0.4, 0.75, 0.35]",40,3200,8000000,0.025,1,4,13,1433,6.740386402,4.61E-06,3.94E-06,,,2632723,,6.71E-07,6.71E-07,17.00%,17.03%
9,"[0.4, 0.75, 0.35]",40,3200,8000000,0.025,1,4,14,1443,6.87015162,2.28E-06,3.94E-06,,,2610000,,-1.66E-06,1.66E-06,-42.10%,42.05%
9,"[0.4, 0.75, 0.35]",40,3200,8000000,0.025,1,4,15,1453,6.743365891,2.95E-06,3.94E-06,,,2567566,,-9.93E-07,9.93E-07,-25.20%,25.21%
10,"[0.4, 0.75, 0.35]",40,3200,8000000,0.05,2,4,1,1313,4.528738432,4.91E-07,3.94E-06,,,1618842,,-3.45E-06,3.45E-06,-87.50%,87.54%
10,"[0.4, 0.75, 0.35]",40,3200,8000000,0.05,2,4,2,1323,4.755222317,1.09E-05,3.94E-06,,,3074019,,7.01E-06,7.01E-06,177.90%,177.90%
10,"[0.4, 0.75, 0.35]",40,3200,8000000,0.05,2,4,3,1333,4.472832306,1.58E-06,3.94E-06,,,1874974,,-2.36E-06,2.36E-06,-59.90%,59.90%
10,"[0.4, 0.75, 0.35]",40,3200,8000000,0.05,2,4,4,1343,4.444118271,3.86E-06,3.94E-06,,,2074071,,-8.40E-08,8.40E-08,-2.10%,2.13%
10,"[0.4, 0.75, 0.35]",40,3200,8000000,0.05,2,4,5,1353,4.399143329,2.15E-06,3.94E-06,,,1751308,,-1.79E-06,1.79E-06,-45.30%,45.32%
10,"[0.4, 0.75, 0.35]",40,3200,8000000,0.05,2,4,6,1363,4.603535011,3.56E-06,3.94E-06,,,2591142,,-3.78E-07,3.78E-07,-9.60%,9.59%
10,"[0.4, 0.75, 0.35]",40,3200,8000000,0.05,2,4,7,1373,4.52478142,4.56E-07,3.94E-06,,,1824584,,-3.48E-06,3.48E-06,-88.40%,88.42%
10,"[0.4, 0.75, 0.35]",40,3200,8000000,0.05,2,4,8,1383,4.389586367,2.09E-07,3.94E-06,,,1238045,,-3.73E-06,3.73E-06,-94.70%,94.69%
10,"[0.4, 0.75, 0.35]",40,3200,8000000,0.05,2,4,9,1393,4.700062221,5.50E-06,3.94E-06,,,3047881,,1.56E-06,1.56E-06,39.60%,39.64%
10,"[0.4, 0.75, 0.35]",40,3200,8000000,0.05,2,4,10,1403,4.646136437,1.30E-06,3.94E-06,,,2263078,,-2.64E-06,2.64E-06,-67.00%,66.98%
10,"[0.4, 0.75, 0.35]",40,3200,8000000,0.05,2,4,11,1413,4.456295351,3.35E-06,3.94E-06,,,2189401,,-5.94E-07,5.94E-07,-15.10%,15.08%
