,rhos,K,N,nmeantimes,buffer_size_activation,buffer_size_activation_value,burnin_cycles_absorption,rep,seed,Pr(MC),EMC(T),time(MC),n(MC),n(RT),Pr(FV),integral,E(T),n(FV),n(PT),n(ET),Pr(K),ratio_mc_fv_time,ratio_mc_fv_events
0,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.025,1,4,1,1313,,,,,,2.1114155939098874e-06,1.4004494149101502e-05,6.632751121804586,2686560,3200,3200,3.939624007386781e-06,,
1,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.025,1,4,2,1323,,,,,,3.217076838759364e-06,2.3593519177945778e-05,7.333837629767153,2147541,3200,3200,3.939624007386781e-06,,
2,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.025,1,4,3,1333,,,,,,3.544434248376313e-06,2.3361562690531785e-05,6.59105545581318,2486075,3200,3200,3.939624007386781e-06,,
3,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.025,1,4,4,1343,,,,,,4.424734318404863e-06,3.0601751367168205e-05,6.916065274219736,3037454,3200,3200,3.939624007386781e-06,,
4,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.025,1,4,5,1353,,,,,,1.351699525389649e-06,8.978513315913827e-06,6.642388450440292,2126704,3200,3200,3.939624007386781e-06,,
5,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.025,1,4,6,1363,,,,,,1.1106800393068874e-06,7.52884352049803e-06,6.778589021187736,2340022,3200,3200,3.939624007386781e-06,,
6,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.025,1,4,7,1373,,,,,,1.0241851361428374e-06,6.785460097592078e-06,6.625228055102088,2085699,3200,3200,3.939624007386781e-06,,
7,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.025,1,4,8,1383,,,,,,6.4098044703122455e-06,4.142319405972994e-05,6.46247389473209,2624952,3200,3200,3.939624007386781e-06,,
8,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.025,1,4,9,1393,,,,,,3.7587602467963777e-06,2.4906430995361005e-05,6.626235609623934,2830026,3200,3200,3.939624007386781e-06,,
9,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.025,1,4,10,1403,,,,,,5.330441849621309e-06,3.6584431548902686e-05,6.863301876466724,2732000,3200,3200,3.939624007386781e-06,,
10,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.025,1,4,11,1413,,,,,,2.383072409309255e-06,1.7033207522758076e-05,7.147582866647024,2436211,3200,3200,3.939624007386781e-06,,
