,,,E(T),E(T),E(T),E(T),E(T),E(T),Pr(MC),Pr(MC),Pr(MC),Pr(MC),Pr(MC),Pr(MC),Pr(FV),Pr(FV),Pr(FV),Pr(FV),Pr(FV),Pr(FV),Pr(K),Pr(K),Pr(K),Pr(K),Pr(K),Pr(K)
,,,count,mean,std,min,max,SE,count,mean,std,min,max,SE,count,mean,std,min,max,SE,count,mean,std,min,max,SE
K,buffer_size_activation,N,,,,,,,,,,,,,,,,,,,,,,,,
40,0.025,3200,15,6.784406358862475,0.22407848215080156,6.46247389473209,7.333837629767153,0.05785681530756602,0,,,,,,15,3.034350537140177e-06,1.6567593683680097e-06,1.0083354891511188e-06,6.4098044703122455e-06,4.2777342949082803e-07,15,3.939624007386781e-06,0.0,3.939624007386781e-06,3.939624007386781e-06,0.0
40,0.05,3200,15,4.569211123885212,0.14617896191210925,4.389586367019848,4.85381263682087,0.03774324567009916,0,,,,,,15,3.084144177740763e-06,2.867655326321948e-06,2.0904824404196706e-07,1.0949106412684667e-05,7.404254214338599e-07,15,3.939624007386781e-06,0.0,3.939624007386781e-06,3.939624007386781e-06,0.0
40,0.075,3200,15,4.4582384210239105,0.12205484181856896,4.204602000025171,4.615716129268233,0.031514424645819876,0,,,,,,15,4.787521750615986e-06,3.4778538283695685e-06,5.39384807255577e-07,1.1931983379893076e-05,8.979779971879364e-07,15,3.939624007386781e-06,0.0,3.939624007386781e-06,3.939624007386781e-06,0.0
40,0.1,3200,15,5.089979156709316,0.1791677301511843,4.788328592511848,5.462702585219159,0.04626090900355475,0,,,,,,15,4.8424752799629354e-06,5.4857129915879e-06,4.4880158153410236e-07,1.953601909448253e-05,1.4164050038995737e-06,15,3.939624007386781e-06,0.0,3.939624007386781e-06,3.939624007386781e-06,0.0
40,0.125,3200,15,6.035413499561936,0.18359522433518297,5.591529639877664,6.339816112362729,0.04740408308622522,0,,,,,,15,3.680070163650227e-06,2.828098395818571e-06,0.0,9.852252792068325e-06,7.302118658960824e-07,15,3.939624007386781e-06,0.0,3.939624007386781e-06,3.939624007386781e-06,0.0
40,0.15,3200,15,7.635157766966622,0.14466395158421455,7.431689770192402,7.998444976366168,0.03735207168548127,0,,,,,,15,4.376946406760621e-06,3.2984439655847265e-06,1.7936448149265436e-07,1.1653212029223558e-05,8.516545698071997e-07,15,3.939624007386781e-06,0.0,3.939624007386781e-06,3.939624007386781e-06,0.0
40,0.175,3200,15,9.938650176682494,0.31817754178713664,9.406603281453481,10.579756891417022,0.08215308803191965,0,,,,,,15,3.353457674927618e-06,2.408434407281772e-06,5.555544164449024e-07,9.437701601605661e-06,6.218550899890155e-07,15,3.939624007386781e-06,0.0,3.939624007386781e-06,3.939624007386781e-06,0.0
40,0.2,3200,15,13.218546741839074,0.32043108506698303,12.74303782401043,13.742303913203088,0.08273495040477316,0,,,,,,15,3.502791606868072e-06,2.8233957541272375e-06,4.592600145053573e-07,8.963283244615122e-06,7.289976490325014e-07,15,3.939624007386781e-06,0.0,3.939624007386781e-06,3.939624007386781e-06,0.0
