,rhos,K,N,nmeantimes,buffer_size_activation,buffer_size_activation_value,burnin_cycles_absorption,rep,seed,Pr(MC),EMC(T),time(MC),n(MC),n(RT),Pr(FV),integral,E(T),n(FV),n(PT),n(ET),Pr(K),ratio_mc_fv_time,ratio_mc_fv_events
0,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.016666666666666666,1,3,1,1313,,,,,,0.0,0.0,6.764374875791832,5239764,6400,6400,1.2493235499773401e-08,,
1,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.016666666666666666,1,3,2,1323,,,,,,0.0,0.0,6.769654595053156,7581899,6400,6400,1.2493235499773401e-08,,
2,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.016666666666666666,1,3,3,1333,,,,,,0.0,0.0,7.174491812622671,6024389,6400,6400,1.2493235499773401e-08,,
3,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.016666666666666666,1,3,4,1343,,,,,,0.0,0.0,6.891378919899346,6011041,6400,6400,1.2493235499773401e-08,,
4,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.016666666666666666,1,3,5,1353,,,,,,5.004642712424656e-09,3.3991448093434464e-08,6.791982973938661,5395128,6400,6400,1.2493235499773401e-08,,
5,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.016666666666666666,1,3,6,1363,,,,,,1.8414682836281933e-09,1.2363628266744836e-08,6.714005544741246,6074174,6400,6400,1.2493235499773401e-08,,
6,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.016666666666666666,1,3,7,1373,,,,,,1.0872286420714383e-10,7.185722153441044e-10,6.609209760837862,6269761,6400,6400,1.2493235499773401e-08,,
7,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.016666666666666666,1,3,8,1383,,,,,,7.54301109297911e-09,5.0666005315580524e-08,6.716946944800263,7122172,6400,6400,1.2493235499773401e-08,,
8,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.016666666666666666,1,3,9,1393,,,,,,0.0,0.0,6.742557442061034,4803821,6400,6400,1.2493235499773401e-08,,
9,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.016666666666666666,1,3,10,1403,,,,,,0.0,0.0,7.009580911876657,6208469,6400,6400,1.2493235499773401e-08,,
10,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.016666666666666666,1,3,11,1413,,,,,,0.0,0.0,7.386019410265428,4676917,6400,6400,1.2493235499773401e-08,,
11,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.016666666666666666,1,3,12,1423,,,,,,0.0,0.0,6.70859450355975,5254508,6400,6400,1.2493235499773401e-08,,
12,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.016666666666666666,1,3,13,1433,,,,,,0.0,0.0,6.77635918538462,5476015,6400,6400,1.2493235499773401e-08,,
13,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.016666666666666666,1,3,14,1443,,,,,,2.9442989337225205e-08,2.0471299135915998e-07,6.952860289234909,6275333,6400,6400,1.2493235499773401e-08,,
14,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.016666666666666666,1,3,15,1453,,,,,,0.0,0.0,6.965362100801628,8112351,6400,6400,1.2493235499773401e-08,,
15,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.05,3,3,1,1313,,,,,,0.0,0.0,4.366028865223155,4592343,6400,6400,1.2493235499773401e-08,,
16,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.05,3,3,2,1323,,,,,,3.701630431651769e-08,1.6941481674460078e-07,4.5767620477715605,7658988,6400,6400,1.2493235499773401e-08,,
17,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.05,3,3,3,1333,,,,,,1.518938001480883e-07,6.722270771264402e-07,4.4256386795975535,5021260,6400,6400,1.2493235499773401e-08,,
18,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.05,3,3,4,1343,,,,,,0.0,0.0,4.337226692567663,3339699,6400,6400,1.2493235499773401e-08,,
19,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.05,3,3,5,1353,,,,,,0.0,0.0,4.470517620385329,5627357,6400,6400,1.2493235499773401e-08,,
20,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.05,3,3,6,1363,,,,,,0.0,0.0,4.316852012513736,4231184,6400,6400,1.2493235499773401e-08,,
21,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.05,3,3,7,1373,,,,,,0.0,0.0,4.36219467514362,4146791,6400,6400,1.2493235499773401e-08,,
22,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.05,3,3,8,1383,,,,,,0.0,0.0,4.422206590615899,4716547,6400,6400,1.2493235499773401e-08,,
23,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.05,3,3,9,1393,,,,,,4.332362852592507e-09,1.9177564094511464e-08,4.4265830788008715,4107138,6400,6400,1.2493235499773401e-08,,
24,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.05,3,3,10,1403,,,,,,0.0,0.0,4.334537304215152,4451823,6400,6400,1.2493235499773401e-08,,
25,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.05,3,3,11,1413,,,,,,0.0,0.0,4.425793608943083,3319935,6400,6400,1.2493235499773401e-08,,
26,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.05,3,3,12,1423,,,,,,0.0,0.0,4.250836073382248,6037045,6400,6400,1.2493235499773401e-08,,
