,rhos,K,N,nmeantimes,buffer_size_activation,buffer_size_activation_value,burnin_cycles_absorption,rep,seed,Pr(MC),EMC(T),time(MC),n(MC),n(RT),Pr(FV),integral,E(T),n(FV),n(PT),n(ET),Pr(K),ratio_mc_fv_time,ratio_mc_fv_events
0,"[0.4, 0.75, 0.35]",40,1000,1000,0.1,4,3,1,1313,,,,,,9.93126809406018e-07,4.938993308324342e-06,4.973174887181142,563824,1000,1000,3.939624007386781e-06,,
1,"[0.4, 0.75, 0.35]",40,1000,1000,0.1,4,3,2,1323,,,,,,5.136033745287203e-07,2.461862180567749e-06,4.793313873427604,518899,1000,1000,3.939624007386781e-06,,
2,"[0.4, 0.75, 0.35]",40,1000,1000,0.1,4,3,3,1333,,,,,,6.176009999320329e-07,2.9853520782916117e-06,4.833787637358344,638880,1000,1000,3.939624007386781e-06,,
3,"[0.4, 0.75, 0.35]",40,1000,1000,0.1,4,3,4,1343,,,,,,1.8065046082231089e-06,8.440568929271406e-06,4.672320729684499,421258,1000,1000,3.939624007386781e-06,,
4,"[0.4, 0.75, 0.35]",40,1000,1000,0.1,4,3,5,1353,,,,,,1.0678748492050477e-06,4.85185612745493e-06,4.543468863478497,331402,1000,1000,3.939624007386781e-06,,
5,"[0.4, 0.75, 0.35]",40,1000,1000,0.1,4,3,6,1363,,,,,,0.0,0.0,4.6179850649210525,255721,1000,1000,3.939624007386781e-06,,
6,"[0.4, 0.75, 0.35]",40,1000,1000,0.1,4,3,7,1373,,,,,,2.081497174857343e-06,1.0514777834600564e-05,5.051545570952409,384309,1000,1000,3.939624007386781e-06,,
7,"[0.4, 0.75, 0.35]",40,1000,1000,0.1,4,3,8,1383,,,,,,4.403611580670705e-06,2.296216844896367e-05,5.214394600503423,621179,1000,1000,3.939624007386781e-06,,
8,"[0.4, 0.75, 0.35]",40,1000,1000,0.3,12,3,1,1313,,,,,,1.4858321993027148e-05,0.0005574384360354724,37.51691720620083,935942,1000,1000,3.939624007386781e-06,,
9,"[0.4, 0.75, 0.35]",40,1000,1000,0.3,12,3,2,1323,,,,,,2.276228139080724e-06,9.12946822011169e-05,40.10787874627853,805168,1000,1000,3.939624007386781e-06,,
10,"[0.4, 0.75, 0.35]",40,1000,1000,0.3,12,3,3,1333,,,,,,4.760278395915153e-06,0.0001745067246997158,36.65893256357904,984255,999,999,3.939624007386781e-06,,
11,"[0.4, 0.75, 0.35]",40,1000,1000,0.3,12,3,4,1343,,,,,,5.709329846422725e-06,0.00026768075254778945,46.88479379335725,1090434,999,999,3.939624007386781e-06,,
12,"[0.4, 0.75, 0.35]",40,1000,1000,0.3,12,3,5,1353,,,,,,5.824507703640235e-06,0.00023777121272231062,40.822542405379075,1021843,1000,1000,3.939624007386781e-06,,
13,"[0.4, 0.75, 0.35]",40,1000,1000,0.3,12,3,6,1363,,,,,,1.2853109769980168e-06,4.568522637429653e-05,35.5441034830336,800108,999,999,3.939624007386781e-06,,
14,"[0.4, 0.75, 0.35]",40,1000,1000,0.3,12,3,7,1373,,,,,,1.4932513471022512e-05,0.0006661146880220146,44.60834335188462,1665151,999,999,3.939624007386781e-06,,
15,"[0.4, 0.75, 0.35]",40,1000,1000,0.3,12,3,8,1383,,,,,,2.2805659155429407e-08,8.205626601087429e-07,35.98065964751513,656774,998,998,3.939624007386781e-06,,
16,"[0.4, 0.75, 0.35]",40,1000,1000,0.5,20,2,1,1313,,,,,,3.280149675235052e-06,0.0013102560687015287,399.45008564514274,1870238,736,736,3.939624007386781e-06,,
17,"[0.4, 0.75, 0.35]",40,1000,1000,0.5,20,2,2,1323,,,,,,1.96567499886422e-06,0.0007985518033121003,406.2481355124875,1712608,728,728,3.939624007386781e-06,,
18,"[0.4, 0.75, 0.35]",40,1000,1000,0.5,20,2,3,1333,,,,,,8.8116665613795e-06,0.003440732765872068,390.474689652057,2020361,731,731,3.939624007386781e-06,,
19,"[0.4, 0.75, 0.35]",40,1000,1000,0.5,20,2,4,1343,,,,,,5.546505223724557e-06,0.0023759405666640334,428.3671376529518,1887497,710,710,3.939624007386781e-06,,
20,"[0.4, 0.75, 0.35]",40,1000,1000,0.5,20,2,5,1353,,,,,,9.072993925075914e-07,0.0003802014454629782,419.04739339919377,1757325,721,721,3.939624007386781e-06,,
21,"[0.4, 0.75, 0.35]",40,1000,1000,0.5,20,2,6,1363,,,,,,5.287294061875819e-07,0.0002156346198803078,407.83549648798095,1669131,726,726,3.939624007386781e-06,,
22,"[0.4, 0.75, 0.35]",40,1000,1000,0.5,20,2,7,1373,,,,,,6.619136631852063e-06,0.0025851553082933947,390.5577799759146,1852066,733,733,3.939624007386781e-06,,
23,"[0.4, 0.75, 0.35]",40,1000,1000,0.5,20,2,8,1383,,,,,,1.577148971437206e-05,0.005957591307735432,377.7443612258433,2086275,744,744,3.939624007386781e-06,,
24,"[0.4, 0.75, 0.35]",40,1000,1000,0.7,28,1,1,1313,,,,,,2.523231827240535e-05,0.010687919721183062,423.58056861036107,1468242,706,706,3.939624007386781e-06,,
25,"[0.4, 0.75, 0.35]",40,1000,1000,0.7,28,1,2,1323,,,,,,4.7417643704870206e-05,0.02173899200975604,458.45787161126384,1649570,685,685,3.939624007386781e-06,,
26,"[0.4, 0.75, 0.35]",40,1000,1000,0.7,28,1,3,1333,,,,,,5.944513914828317e-05,0.02296702929862935,386.35672533862106,1505108,728,728,3.939624007386781e-06,,
27,"[0.4, 0.75, 0.35]",40,1000,1000,0.7,28,1,4,1343,,,,,,5.636127934071343e-05,0.025269374211148745,448.34635598654745,1679006,694,694,3.939624007386781e-06,,
28,"[0.4, 0.75, 0.35]",40,1000,1000,0.7,28,1,5,1353,,,,,,5.563260180831824e-05,0.02396252995682349,430.7281913469772,1588150,704,704,3.939624007386781e-06,,
29,"[0.4, 0.75, 0.35]",40,1000,1000,0.7,28,1,6,1363,,,,,,2.5056237940159985e-05,0.010969986021135929,437.81456926354065,1510073,700,700,3.939624007386781e-06,,
30,"[0.4, 0.75, 0.35]",40,1000,1000,0.7,28,1,7,1373,,,,,,2.7874413807603985e-05,0.011940122751160243,428.35421880344774,1465029,705,705,3.939624007386781e-06,,
31,"[0.4, 0.75, 0.35]",40,1000,1000,0.7,28,1,8,1383,,,,,,2.5673784536576816e-05,0.012163951405606508,473.7887937119992,1604923,673,673,3.939624007386781e-06,,
