,rhos,K,N,nmeantimes,buffer_size_activation,buffer_size_activation_value,burnin_cycles_absorption,rep,seed,Pr(MC),EMC(T),time(MC),n(MC),n(RT),Pr(FV),integral,E(T),n(FV),n(PT),n(ET),Pr(K),ratio_mc_fv_time,ratio_mc_fv_events
0,"[0.4, 0.75, 0.35]",40,1000,8000000.0,0.1,4,3,1,1313,,,,,,7.161168773470125e-06,3.5613744707087405e-05,4.973174887181142,564059,1000,1000,3.939624007386781e-06,,
1,"[0.4, 0.75, 0.35]",40,1000,8000000.0,0.1,4,3,2,1323,,,,,,4.175648248265352e-07,2.0015192678963984e-06,4.793313873427604,519053,1000,1000,3.939624007386781e-06,,
2,"[0.4, 0.75, 0.35]",40,1000,8000000.0,0.1,4,3,3,1333,,,,,,6.626493181736776e-06,3.2031060820918586e-05,4.833787637358344,638677,1000,1000,3.939624007386781e-06,,
3,"[0.4, 0.75, 0.35]",40,1000,8000000.0,0.1,4,3,4,1343,,,,,,1.2322061648634732e-06,5.75726240733664e-06,4.672320729684499,421455,1000,1000,3.939624007386781e-06,,
4,"[0.4, 0.75, 0.35]",40,1000,8000000.0,0.1,4,3,5,1353,,,,,,0.0,0.0,4.543468863478497,332538,1000,1000,3.939624007386781e-06,,
5,"[0.4, 0.75, 0.35]",40,1000,8000000.0,0.1,4,3,6,1363,,,,,,0.0,0.0,4.6179850649210525,255751,1000,1000,3.939624007386781e-06,,
6,"[0.4, 0.75, 0.35]",40,1000,8000000.0,0.1,4,3,7,1373,,,,,,1.2821728017060948e-07,6.476954337654064e-07,5.051545570952409,384098,1000,1000,3.939624007386781e-06,,
7,"[0.4, 0.75, 0.35]",40,1000,8000000.0,0.1,4,3,8,1383,,,,,,1.800450182838236e-06,9.388257711867099e-06,5.214394600503423,620985,1000,1000,3.939624007386781e-06,,
8,"[0.4, 0.75, 0.35]",40,1000,8000000.0,0.2,8,3,1,1313,,,,,,9.917727525578982e-08,1.2333128970143434e-06,12.435438398902217,425285,1000,1000,3.939624007386781e-06,,
9,"[0.4, 0.75, 0.35]",40,1000,8000000.0,0.2,8,3,2,1323,,,,,,2.6215124511189147e-06,3.442256525570516e-05,13.130803647723631,737452,1000,1000,3.939624007386781e-06,,
10,"[0.4, 0.75, 0.35]",40,1000,8000000.0,0.2,8,3,3,1333,,,,,,8.46402967896739e-08,1.0278806635008095e-06,12.144105142436253,371293,1000,1000,3.939624007386781e-06,,
11,"[0.4, 0.75, 0.35]",40,1000,8000000.0,0.2,8,3,4,1343,,,,,,2.635805869973765e-06,3.3891057003327634e-05,12.857948830527858,583150,1000,1000,3.939624007386781e-06,,
12,"[0.4, 0.75, 0.35]",40,1000,8000000.0,0.2,8,3,5,1353,,,,,,8.881244345180706e-06,0.00010977635017754752,12.360469536807221,766213,1000,1000,3.939624007386781e-06,,
13,"[0.4, 0.75, 0.35]",40,1000,8000000.0,0.2,8,3,6,1363,,,,,,2.6428712762976793e-06,3.32835961445152e-05,12.59372578718295,519476,1000,1000,3.939624007386781e-06,,
14,"[0.4, 0.75, 0.35]",40,1000,8000000.0,0.2,8,3,7,1373,,,,,,1.682315762731038e-05,0.00022394859295204284,13.311923832211448,533675,1000,1000,3.939624007386781e-06,,
15,"[0.4, 0.75, 0.35]",40,1000,8000000.0,0.2,8,3,8,1383,,,,,,1.188402028596631e-05,0.00016263099162319348,13.684846349113217,850969,1000,1000,3.939624007386781e-06,,
16,"[0.4, 0.75, 0.35]",40,1000,8000000.0,0.3,12,3,1,1313,,,,,,8.288621537798552e-06,0.0003109635279871213,37.51691720620083,936412,1000,1000,3.939624007386781e-06,,
17,"[0.4, 0.75, 0.35]",40,1000,8000000.0,0.3,12,3,2,1323,,,,,,1.549362582737488e-06,6.214164660245611e-05,40.10787874627853,806036,1000,1000,3.939624007386781e-06,,
18,"[0.4, 0.75, 0.35]",40,1000,8000000.0,0.3,12,3,3,1333,,,,,,1.2878044518565533e-06,4.5835892623653016e-05,35.59227688456431,750751,1000,1000,3.939624007386781e-06,,
19,"[0.4, 0.75, 0.35]",40,1000,8000000.0,0.3,12,3,4,1343,,,,,,2.8605613771820936e-06,0.0001295789331358852,45.298427843394826,921661,1000,1000,3.939624007386781e-06,,
20,"[0.4, 0.75, 0.35]",40,1000,8000000.0,0.3,12,3,5,1353,,,,,,3.5435537818140213e-06,0.00014465687452384427,40.822542405379075,1021746,1000,1000,3.939624007386781e-06,,
21,"[0.4, 0.75, 0.35]",40,1000,8000000.0,0.3,12,3,6,1363,,,,,,8.885920868843507e-06,0.0003097538667636569,34.85894949275764,1069835,1000,1000,3.939624007386781e-06,,
22,"[0.4, 0.75, 0.35]",40,1000,8000000.0,0.3,12,3,7,1373,,,,,,6.592221682338811e-06,0.00027164706296969654,41.207209960409074,943696,1000,1000,3.939624007386781e-06,,
23,"[0.4, 0.75, 0.35]",40,1000,8000000.0,0.3,12,3,8,1383,,,,,,1.1213243371975031e-06,4.314555725498931e-05,38.47732170232021,785123,1000,1000,3.939624007386781e-06,,
