,rhos,K,N,nmeantimes,buffer_size_activation,buffer_size_activation_value,burnin_cycles_absorption,rep,seed,Pr(MC),EMC(T),time(MC),n(MC),n(RT),Pr(FV),integral,E(T),n(FV),n(PT),n(ET),Pr(K),ratio_mc_fv_time,ratio_mc_fv_events
0,"[0.4, 0.75, 0.35]",60,6400,1000,0.016666666666666666,1,3,1,1313,,,,,,0.0,0.0,6.764374875791832,5236825,6400,6400,1.2493235499773401e-08,,
1,"[0.4, 0.75, 0.35]",60,6400,1000,0.016666666666666666,1,3,2,1323,,,,,,0.0,0.0,6.769654595053156,7583112,6400,6400,1.2493235499773401e-08,,
2,"[0.4, 0.75, 0.35]",60,6400,1000,0.016666666666666666,1,3,3,1333,,,,,,0.0,0.0,7.174491812622671,6026872,6400,6400,1.2493235499773401e-08,,
3,"[0.4, 0.75, 0.35]",60,6400,1000,0.016666666666666666,1,3,4,1343,,,,,,0.0,0.0,6.891378919899346,6009762,6400,6400,1.2493235499773401e-08,,
4,"[0.4, 0.75, 0.35]",60,6400,1000,0.016666666666666666,1,3,5,1353,,,,,,0.0,0.0,6.791982973938661,5396376,6400,6400,1.2493235499773401e-08,,
5,"[0.4, 0.75, 0.35]",60,6400,1000,0.016666666666666666,1,3,6,1363,,,,,,0.0,0.0,6.714005544741246,6076485,6400,6400,1.2493235499773401e-08,,
6,"[0.4, 0.75, 0.35]",60,6400,1000,0.016666666666666666,1,3,7,1373,,,,,,0.0,0.0,6.609209760837862,6272764,6400,6400,1.2493235499773401e-08,,
7,"[0.4, 0.75, 0.35]",60,6400,1000,0.016666666666666666,1,3,8,1383,,,,,,0.0,0.0,6.716946944800263,7120967,6400,6400,1.2493235499773401e-08,,
8,"[0.4, 0.75, 0.35]",60,6400,1000,0.05,3,3,1,1313,,,,,,0.0,0.0,4.366028865223155,4591645,6400,6400,1.2493235499773401e-08,,
9,"[0.4, 0.75, 0.35]",60,6400,1000,0.05,3,3,2,1323,,,,,,1.8617197877044553e-07,8.520648467951078e-07,4.5767620477715605,7657124,6400,6400,1.2493235499773401e-08,,
10,"[0.4, 0.75, 0.35]",60,6400,1000,0.05,3,3,3,1333,,,,,,0.0,0.0,4.4256386795975535,5023365,6400,6400,1.2493235499773401e-08,,
