,,,E(T),E(T),E(T),E(T),E(T),E(T),Pr(MC),Pr(MC),Pr(MC),Pr(MC),Pr(MC),Pr(MC),Pr(FV),Pr(FV),Pr(FV),Pr(FV),Pr(FV),Pr(FV),Pr(K),Pr(K),Pr(K),Pr(K),Pr(K),Pr(K)
,,,count,mean,std,min,max,SE,count,mean,std,min,max,SE,count,mean,std,min,max,SE,count,mean,std,min,max,SE
K,buffer_size_activation,N,,,,,,,,,,,,,,,,,,,,,,,,
60,0.016666666666666666,6400,8,6.80400567846063,0.169627279856183,6.609209760837862,7.174491812622671,0.05997229993026763,0,,,,,,8,0.0,0.0,0.0,0.0,0.0,8,1.2493235499773403e-08,0.0,1.2493235499773401e-08,1.2493235499773401e-08,0.0
60,0.05,6400,8,4.409678397977315,0.08456275464391466,4.316852012513736,4.5767620477715605,0.029897448622263133,0,,,,,,8,3.0913261035876094e-08,6.628116233430846e-08,0.0,1.8617197877044553e-07,2.3433929675757943e-08,8,1.2493235499773403e-08,0.0,1.2493235499773401e-08,1.2493235499773401e-08,0.0
60,0.08333333333333333,6400,8,6.034127431429305,0.1316476305444218,5.82580464658898,6.204624067578086,0.04654446614255096,0,,,,,,8,5.363655996761762e-08,1.2413439378860002e-07,0.0,3.5884042592551527e-07,4.388813581320016e-08,8,1.2493235499773403e-08,0.0,1.2493235499773401e-08,1.2493235499773401e-08,0.0
60,0.11666666666666667,6400,8,9.925628637505946,0.11884893855509888,9.783875621895863,10.125175169777165,0.042019445194566865,0,,,,,,8,0.0,0.0,0.0,0.0,0.0,8,1.2493235499773403e-08,0.0,1.2493235499773401e-08,1.2493235499773401e-08,0.0
60,0.2,6400,8,40.8003471068816,1.7089411195713957,37.621401260914034,43.27919464746801,0.6042019271487322,0,,,,,,8,1.7482842610729993e-08,3.8633980067699843e-08,0.0,1.1205461458126413e-07,1.3659174645048234e-08,8,1.2493235499773403e-08,0.0,1.2493235499773401e-08,1.2493235499773401e-08,0.0
60,0.25,6400,8,110.49943332460451,3.3062981031866427,107.03393417948844,116.2279958700676,1.1689529046937472,0,,,,,,8,1.1905457143186226e-08,1.5396145352454222e-08,1.1281600575430482e-11,4.315088427635026e-08,5.443359391427064e-09,8,1.2493235499773403e-08,0.0,1.2493235499773401e-08,1.2493235499773401e-08,0.0
60,0.35,6400,8,444.00236413999863,6.852955416915304,433.79275646482114,454.10183512925767,2.4228856232349476,0,,,,,,8,1.7802794807268437e-08,2.523965133782395e-08,1.8678339384241468e-11,7.497844831190412e-08,8.923564307879715e-09,8,1.2493235499773403e-08,0.0,1.2493235499773401e-08,1.2493235499773401e-08,0.0
60,0.4,6400,8,543.303089263441,10.421489168185632,525.8970328719081,558.3454417788776,3.6845528304431063,0,,,,,,8,3.09343461124295e-08,3.1179157853574726e-08,5.0814634572493826e-09,9.085277545316924e-08,1.1023496974974243e-08,8,1.2493235499773403e-08,0.0,1.2493235499773401e-08,1.2493235499773401e-08,0.0
