,rhos,K,N,nmeantimes,buffer_size_activation,buffer_size_activation_value,burnin_cycles_absorption,rep,seed,Pr(MC),EMC(T),time(MC),n(MC),n(RT),Pr(FV),integral,E(T),n(FV),n(PT),n(ET),Pr(K),ratio_mc_fv_time,ratio_mc_fv_events
0,[0.7],40,1000,1000,0.1,4,3,1,1313,,,,,,0.0,0.0,13.315998623225711,247189,1000,1000,1.9100425795336106e-07,,
1,[0.7],40,1000,1000,0.1,4,3,2,1323,,,,,,0.0,0.0,14.095726082522669,216934,1000,1000,1.9100425795336106e-07,,
2,[0.7],40,1000,1000,0.1,4,3,3,1333,,,,,,0.0,0.0,12.699109844947962,210626,1000,1000,1.9100425795336106e-07,,
3,[0.7],40,1000,1000,0.1,4,3,4,1343,,,,,,0.0,0.0,14.251956605548347,180658,1000,1000,1.9100425795336106e-07,,
4,[0.7],40,1000,1000,0.1,4,3,5,1353,,,,,,0.0,0.0,14.375542345894509,187445,1000,1000,1.9100425795336106e-07,,
5,[0.7],40,1000,1000,0.1,4,3,6,1363,,,,,,4.676625700030857e-07,6.7813716343561335e-06,14.500565299274195,290976,1000,1000,1.9100425795336106e-07,,
6,[0.7],40,1000,1000,0.1,4,3,7,1373,,,,,,0.0,0.0,14.011329028906102,292677,1000,1000,1.9100425795336106e-07,,
7,[0.7],40,1000,1000,0.1,4,3,8,1383,,,,,,7.087269993989437e-07,9.208470684958227e-06,12.9929728834484,254344,1000,1000,1.9100425795336106e-07,,
8,[0.7],40,1000,1000,0.15,6,3,1,1313,,,,,,0.0,0.0,26.220023073731262,274298,1000,1000,1.9100425795336106e-07,,
9,[0.7],40,1000,1000,0.15,6,3,2,1323,,,,,,4.1623959265945197e-07,1.1981621620028051e-05,28.785396274954703,400734,1000,1000,1.9100425795336106e-07,,
10,[0.7],40,1000,1000,0.15,6,3,3,1333,,,,,,1.88109197041728e-06,5.150335589059349e-05,27.379499089121396,416545,1000,1000,1.9100425795336106e-07,,
11,[0.7],40,1000,1000,0.15,6,3,4,1343,,,,,,2.9631084792442097e-08,8.646332743716129e-07,29.17993993227518,313535,1000,1000,1.9100425795336106e-07,,
12,[0.7],40,1000,1000,0.15,6,3,5,1353,,,,,,0.0,0.0,28.44328332846257,324985,1000,1000,1.9100425795336106e-07,,
13,[0.7],40,1000,1000,0.15,6,3,6,1363,,,,,,0.0,0.0,30.480022372018723,285381,1000,1000,1.9100425795336106e-07,,
14,[0.7],40,1000,1000,0.15,6,3,7,1373,,,,,,0.0,0.0,29.085289104317532,348065,1000,1000,1.9100425795336106e-07,,
15,[0.7],40,1000,1000,0.15,6,3,8,1383,,,,,,7.506544110721123e-07,2.160186099466966e-05,28.777371685349966,395533,1000,1000,1.9100425795336106e-07,,
16,[0.7],40,1000,1000,0.2,8,3,1,1313,,,,,,4.7062500130402135e-07,2.799417626125916e-05,59.482977282745466,594833,1000,1000,1.9100425795336106e-07,,
17,[0.7],40,1000,1000,0.2,8,3,2,1323,,,,,,8.931078759252001e-08,4.899429364775614e-06,54.85820354792116,513586,1000,1000,1.9100425795336106e-07,,
18,[0.7],40,1000,1000,0.2,8,3,3,1333,,,,,,0.0,0.0,54.44968569782002,456627,999,999,1.9100425795336106e-07,,
19,[0.7],40,1000,1000,0.2,8,3,4,1343,,,,,,3.162603526770292e-08,1.7680380814238104e-06,55.90451242016298,462014,1000,1000,1.9100425795336106e-07,,
20,[0.7],40,1000,1000,0.2,8,3,5,1353,,,,,,1.7683462535875603e-06,0.00010594783292209168,59.913511116473,535697,997,997,1.9100425795336106e-07,,
21,[0.7],40,1000,1000,0.2,8,3,6,1363,,,,,,6.252279329514995e-07,3.6366778308771616e-05,58.165632711091106,713151,1000,1000,1.9100425795336106e-07,,
22,[0.7],40,1000,1000,0.2,8,3,7,1373,,,,,,2.6117263781594725e-08,1.4648013779803932e-06,56.08556050242382,421546,1000,1000,1.9100425795336106e-07,,
23,[0.7],40,1000,1000,0.2,8,3,8,1383,,,,,,3.4931072704602855e-07,2.2111264580580046e-05,63.29970100708202,531181,996,996,1.9100425795336106e-07,,
24,[0.7],40,1000,1000,0.25,10,3,1,1313,,,,,,1.5008918630183579e-06,0.00019846529208730453,132.23157309160322,1066296,946,946,1.9100425795336106e-07,,
25,[0.7],40,1000,1000,0.25,10,3,2,1323,,,,,,4.843629623613628e-07,6.862973218456463e-05,141.6907103094371,853817,947,947,1.9100425795336106e-07,,
26,[0.7],40,1000,1000,0.25,10,3,3,1333,,,,,,8.37266841255623e-08,1.2502677048433112e-05,149.32726858838979,901802,952,952,1.9100425795336106e-07,,
27,[0.7],40,1000,1000,0.25,10,3,4,1343,,,,,,9.234784860626288e-09,1.231713252966587e-06,133.37757961402625,874737,941,941,1.9100425795336106e-07,,
28,[0.7],40,1000,1000,0.25,10,3,5,1353,,,,,,3.782975714836931e-08,5.176830066613491e-06,136.84544805058692,767585,939,939,1.9100425795336106e-07,,
29,[0.7],40,1000,1000,0.25,10,3,6,1363,,,,,,1.0291240437045261e-07,1.3758818067601695e-05,133.69445745407165,825375,946,946,1.9100425795336106e-07,,
30,[0.7],40,1000,1000,0.25,10,3,7,1373,,,,,,5.4143895231288e-07,6.866760387937366e-05,126.82427739275929,803510,959,959,1.9100425795336106e-07,,
31,[0.7],40,1000,1000,0.25,10,3,8,1383,,,,,,4.998937881234615e-07,6.266218482064573e-05,125.35099717056238,801596,951,951,1.9100425795336106e-07,,
32,[0.7],40,1000,1000,0.3,12,3,1,1313,,,,,,0.0,0.0,334.08065324548,1062884,739,739,1.9100425795336106e-07,,
33,[0.7],40,1000,1000,0.3,12,3,2,1323,,,,,,1.9032668803948046e-07,6.265292756891077e-05,329.18624400123196,1096629,756,756,1.9100425795336106e-07,,
34,[0.7],40,1000,1000,0.3,12,3,3,1333,,,,,,4.556512914536262e-09,1.49406589144349e-06,327.8967753338516,1057058,742,742,1.9100425795336106e-07,,
